,open,close,high,low,volume,money
2020-05-25,30.91,31.12,31.52,30.78,20599861.0,641229708.08
2020-05-26,31.33,31.33,31.66,31.16,18963313.0,594364389.66
2020-05-27,31.37,30.8,31.47,30.37,27555024.0,848653851.78
2020-05-28,30.68,30.11,31.03,29.75,30655938.0,926706632.6
2020-05-29,30.15,30.54,30.74,30.12,23890232.0,728447291.48
2020-06-01,30.98,31.07,31.22,30.79,25269456.0,784506703.4
2020-06-02,30.98,30.66,30.98,30.47,26524512.0,813685475.91
2020-06-03,30.76,31.13,31.6,30.69,34609224.0,1080030775.94
2020-06-04,31.3,30.79,31.33,30.63,19851647.0,612813168.48
2020-06-05,30.77,30.98,31.0,30.34,19413870.0,595018841.74
2020-06-08,30.96,30.72,31.16,30.61,18472969.0,569472445.51
2020-06-09,30.76,31.04,31.25,30.57,22642302.0,702677021.66
2020-06-10,31.12,32.11,32.11,30.83,46149730.0,1460392536.61
2020-06-11,31.86,31.88,32.37,31.44,38201535.0,1221712238.61
2020-06-12,31.38,32.77,33.27,31.37,51757990.0,1685758977.78
2020-06-15,33.31,33.12,33.75,32.58,47924838.0,1591089821.44
2020-06-16,33.12,33.17,33.34,32.61,32169174.0,1061776214.19
2020-06-17,33.62,34.6,34.76,33.61,61151418.0,2096281647.42
2020-06-18,34.51,33.44,34.51,33.38,47403277.0,1598634287.54
2020-06-19,33.02,33.41,33.73,33.02,32607255.0,1088528151.4
2020-06-22,33.27,32.77,33.35,32.28,41931057.0,1372499954.74
2020-06-23,32.7,32.89,32.97,32.44,26526624.0,867876262.56
2020-06-24,32.88,32.43,33.02,32.35,27013378.0,879611731.07
2020-06-29,32.5,33.64,33.66,32.49,41499398.0,1377705114.3
2020-06-30,33.69,33.61,33.73,33.24,34310804.0,1148863358.46
2020-07-01,33.59,32.95,33.59,32.57,41128589.0,1354028211.93
2020-07-02,33.64,34.23,35.63,33.63,80232757.0,2782488922.56
2020-07-03,34.45,34.18,34.45,33.38,50811781.0,1719388009.51
2020-07-06,34.18,35.08,35.25,33.88,63607378.0,2208197081.44
2020-07-07,35.23,35.28,35.95,34.77,66397132.0,2342903149.22
2020-07-08,35.22,35.29,35.45,34.83,47521028.0,1667929153.96
2020-07-09,35.14,35.75,36.34,34.98,58264893.0,2076552178.68
2020-07-10,35.57,35.29,36.29,35.12,50139308.0,1786467652.49
2020-07-13,35.62,37.38,37.71,35.62,64937386.0,2387117286.33
2020-07-14,39.3,38.67,40.22,38.01,95957746.0,3736800809.53
2020-07-15,39.68,42.53,42.53,39.22,134695558.0,5628433021.97
2020-07-16,42.5,38.28,42.5,38.28,129607539.0,5164671893.67
2020-07-17,37.88,39.82,40.59,37.13,84136655.0,3304881063.56
2020-07-20,41.06,40.76,41.99,39.95,65441998.0,2671231505.16
2020-07-21,41.36,43.65,44.38,41.36,93701898.0,4044672021.49
2020-07-22,42.59,42.97,44.12,42.45,67238742.0,2909209543.09
2020-07-23,44.5,47.27,47.27,43.79,137294121.0,6342945163.28
