read,conmment,title,author,renew,link
541,0,复星医药本周融资净买入1.26亿元，居医药制造板块第九,两融追踪,05-23 15:05,"/news,600196,1037298311.html"
15530,113,复星医药：愿意将疫苗服务于台湾同胞,复星医药资讯,05-22 16:09,"/news,600196,1037209632.html"
609,0,复星医药(600196)融资融券信息(05-21),复星医药资讯,05-22 07:40,"/news,600196,1037156279.html"
700,1,复星医药：连续3日融资净偿还累计7.82亿元（05-21）,复星医药资讯,05-22 07:37,"/news,600196,1037155745.html"
509,0,复星医药(600196)融资融券信息(05-20),复星医药资讯,05-21 07:45,"/news,600196,1036709575.html"
553,0,复星医药：融资净偿还4.27亿元，创历史新高（05-20）,复星医药资讯,05-21 07:38,"/news,600196,1036708138.html"
587,0,复星医药(600196)融资融券信息(05-19),复星医药资讯,05-20 07:52,"/news,600196,1036216817.html"
436,0,复星医药：融资净偿还1.35亿元，两市排名第六（05-19）,复星医药资讯,05-20 07:36,"/news,600196,1036213714.html"
629,0,复星医药：融资余额80.87亿元，创历史新高（05-18）,复星医药资讯,05-19 07:54,"/news,600196,1035733182.html"
596,0,复星医药(600196)融资融券信息(05-18),复星医药资讯,05-19 07:46,"/news,600196,1035731395.html"
4030,12,两市5月18日成交7543.68亿，100股涨停（附10大活跃股）,复星医药资讯,05-18 18:31,"/news,600196,1035639002.html"
580,0,复星医药(600196)融资融券信息(05-17),复星医药资讯,05-18 07:52,"/news,600196,1035281400.html"
1016,4,复星医药：融资余额77.48亿元，创历史新高（05-17）,复星医药资讯,05-18 07:35,"/news,600196,1035278004.html"
951,2,复星医药05月17日被沪股通减持569.41万股,聚焦沪深港,05-18 07:31,"/news,600196,1035277062.html"
10134,11,医疗器械周榜：老龄化带动骨科器械股走强 复星医药市值领衔上涨近315亿,复星医药资讯,05-16 21:51,"/news,600196,1034766410.html"
1570,1,复星医药本周融资净买入11.49亿元，两市排名第一,两融追踪,05-16 15:07,"/news,600196,1034696299.html"
1482,0,复星医药本周获沪股通增持4.92亿元，周内增持市值两市排名第九,胖猫周周见,05-16 14:05,"/news,600196,1034688559.html"
628,0,复星医药(600196)融资融券信息(05-14),复星医药资讯,05-15 07:40,"/news,600196,1034539526.html"
828,1,复星医药：融资余额71.79亿元，创历史新高（05-14）,复星医药资讯,05-15 07:36,"/news,600196,1034538819.html"
2329,8,两市5月14日成交9040.78亿，117股涨停（附10大活跃股）,复星医药资讯,05-14 18:31,"/news,600196,1034455637.html"
1185,2,复星医药一度涨停，当日成交额103.63亿元（5-14）,异动鸭,05-14 15:40,"/news,600196,1034416943.html"
3705,3,复星医药等11股获融资净买入超亿元,复星医药资讯,05-14 09:31,"/news,600196,1034284541.html"
569,0,复星医药(600196)融资融券信息(05-13),复星医药资讯,05-14 07:51,"/news,600196,1034054591.html"
709,2,复星医药：融资余额68.22亿元，创历史新高（05-13）,复星医药资讯,05-14 07:36,"/news,600196,1034051496.html"
4989,10,复星医药大涨7.15% 成交额44.72亿元,复星医药资讯,05-13 14:55,"/news,600196,1033886844.html"
560,0,复星医药(600196)融资融券信息(05-12),复星医药资讯,05-13 07:52,"/news,600196,1033573148.html"
601,0,复星医药：融资余额64.11亿元，创历史新高（05-12）,复星医药资讯,05-13 07:40,"/news,600196,1033570740.html"
2153,4,东方财富证券维持复星医药增持评级 动态点评：拟与BioNTech设立合资公司 mRNA技术平台未来可期,复星医药资讯,05-12 10:52,"/news,600196,1033352805.html"
570,0,复星医药(600196)融资融券信息(05-11),复星医药资讯,05-12 07:41,"/news,600196,1033094501.html"
488,0,复星医药：融资余额61.32亿元，创历史新高（05-11）,复星医药资讯,05-12 07:35,"/news,600196,1033093543.html"
6834,12,复星医药：复宏汉霖就BRAF V600E抑制剂与润新生物签订许可协议,复星医药资讯,05-11 19:15,"/news,600196,1033015265.html"
1945,1,两市5月11日成交8456.51亿，90股涨停（附10大活跃股）,复星医药资讯,05-11 18:01,"/news,600196,1032992127.html"
453,0,东吴证券维持复星医药买入评级：拟与BioNTech投资设立合资公司 长期看好mRNA新冠疫苗市场前景,复星医药资讯,05-11 10:58,"/news,600196,1032984436.html"
503,0,复星医药(600196)融资融券信息(05-10),复星医药资讯,05-11 07:51,"/news,600196,1032618632.html"
489,0,复星医药：融资余额61.22亿元，创历史新高（05-10）,复星医药资讯,05-11 07:34,"/news,600196,1032615119.html"
773,0,复星医药一字涨停，当日成交额11.06亿元（5-10）,异动鸭,05-10 15:40,"/news,600196,1032472153.html"
2138,0,北向资金成交情况概览(05-10),北向资金聚焦,05-10 15:02,"/news,600196,1032454351.html"
3907,7,千亿复星医药迎来重大利好 开盘一字涨停 封单超11万手,复星医药资讯,05-10 11:28,"/news,600196,1032363782.html"
2638,7,复星获mRNA疫苗生产许可收益可观 关键原料谁来供应？,复星医药资讯,05-10 11:02,"/news,600196,1032331570.html"
4009,18,医药疫苗股早盘走强,复星医药资讯,05-10 10:17,"/news,600196,1032227639.html"
3152,24,复星医药大单封涨停 拟设合资公司以实现mRNA新冠疫苗本地化,复星医药资讯,05-10 09:57,"/news,600196,1032367981.html"
1655,3,复星医药拟与拜恩泰科设合资公司 新冠疫苗本土化年产能十亿剂,复星医药资讯,05-10 09:16,"/news,600196,1032231436.html"
10661,44,复星医药：控股子公司拟与BioNTech设立合资公司,复星医药资讯,05-09 20:02,"/news,600196,1032074466.html"
603,0,复星医药(600196)融资融券信息(05-07),复星医药资讯,05-08 07:49,"/news,600196,1031880520.html"
900,1,复星医药：融资余额60.3亿元，创历史新高（05-07）,复星医药资讯,05-08 07:35,"/news,600196,1031878232.html"
1739,3,复星医药05月07日获沪股通增持646.12万股,聚焦沪深港,05-08 07:31,"/news,600196,1031877508.html"
368,0,复星医药：融资净偿还4886万元，两市排名第19（05-06）,复星医药资讯,05-07 07:54,"/news,600196,1031419895.html"
367,0,复星医药(600196)融资融券信息(05-06),复星医药资讯,05-07 07:43,"/news,600196,1031417696.html"
678,0,复星医药05月06日被沪股通减持526.11万股,聚焦沪深港,05-07 07:30,"/news,600196,1031414564.html"
976,1,东莞证券维持复星医药谨慎推荐评级：美国开放专利影响有限 Q1主营业务持续恢复,复星医药资讯,05-06 19:47,"/news,600196,1031382376.html"
814,0,逾四成A股上市药企销售费用同比增长 复星医药广告宣传砸钱最猛,复星医药资讯,05-06 19:33,"/news,600196,1031382732.html"
11598,88,龙虎榜：复星医药放量跌停 机构、沪股通合计净卖出4亿元,复星医药资讯,05-06 17:51,"/news,600196,1031316175.html"
6032,10,复星医药跌停 北向资金、机构资金净卖出,复星医药资讯,05-06 17:19,"/news,600196,1031307932.html"
17936,175,多主力现身龙虎榜，复星医药跌停（05-06）,复星医药资讯,05-06 16:42,"/news,600196,1031298792.html"
1251,0,复星医药放量跌停 机构资金净卖出1亿元,一句话龙虎榜,05-06 16:40,"/news,600196,1031298092.html"
7922,38,复星医药（600196）龙虎榜数据（05-06）,复星医药资讯,05-06 16:27,"/news,600196,1031322817.html"
1020,0,复星医药封跌停板，当日成交额89.21亿元（5-6）,异动鸭,05-06 15:40,"/news,600196,1031282295.html"
4318,1,北向资金成交情况概览(05-06),北向资金聚焦,05-06 15:02,"/news,600196,1031268222.html"
10577,35,复星医药创近六年最大跌幅 美国支持豁免对疫苗知识产权的保护,复星医药资讯,05-06 10:01,"/news,600196,1031153264.html"
2812,5,复星医药跌停 股价报54.22元,复星医药资讯,05-06 09:51,"/news,600196,1031206427.html"
6447,10,A股疫苗概念持续下挫 复星医药跌停,复星医药资讯,05-06 09:49,"/news,600196,1031041520.html"
831,0,复星医药本周融资净买入9.7亿元，两市排名第二,两融追踪,05-05 15:07,"/news,600196,1030885122.html"
863,0,复星医药本周沪股通持股市值增加3.59亿元，居医药制造板块第二,胖猫周周见,05-05 14:06,"/news,600196,1030877303.html"
7108,12,交易异动！复星医药：近3个交易日上涨23.75% 无未披露的重大事项,复星医药资讯,05-05 00:09,"/news,600196,1030832430.html"
9227,17,或对印度“双重突变”变异病毒有效的mRNA疫苗最迟6月份引进中国？复星医药三天收获两个涨停板,复星医药资讯,05-02 19:45,"/news,600196,1030653079.html"
