read,conmment,title,author,renew,link
37361,517,恒瑞医药MACD/日线在零轴上死叉向下，绿线加长，周线在零轴下金叉向上红线缩短，,股友rxDjYv,05-23 15:01,"/news,600276,995962897.html"
4942,26,股东从去年到现在翻3倍！你们觉得主力会拉吗？看了这张图你们就懂了！懂的人自然懂，,西瓜智投,05-23 14:45,"/news,600276,1037128559.html"
39707,524,放长线钓大鱼，十年内恒瑞最保守总市值超2万亿元（立帖为证2020/1.19,股友rxDjYv,05-23 13:14,"/news,600276,997548349.html"
8818,67,真正的白马，必将反杀,李元霸77777,05-22 08:56,"/news,600276,1023903529.html"
5739,17,价值投资怎么找即好又便宜的公司呢？目前A股的好公司都不便宜，只能趁每次调整时分批,红日投资东风劲,05-21 16:50,"/news,600276,1035246224.html"
13118,95,从PEG分析恒瑞医药的合理估值。PEG指标(市盈率相对盈利增长比率)是用公司的市,十元恒瑞3,05-21 16:09,"/news,600276,1025546251.html"
27831,122,现在信了吧？恒瑞医药的耻辱顶就是116.87元。恒瑞医药存货的异动。除了其他应收,十元恒瑞2,05-21 16:02,"/news,600276,1023902529.html"
12452,102,立贴为证：116.87元就是恒瑞医药的耻辱顶。格雷厄姆说过：超过20倍PE就算投,十元恒瑞1,05-21 15:53,"/news,600276,1010298649.html"
6044,28,横久必跌，特别是：对于恒瑞医药这样的股票，它已经跌破年线往下行了，是典型的进入熊,决策2020,05-21 15:00,"/news,600276,1036572845.html"
8583,45,今天又看了看恒瑞医药，标准的底部，正是建仓好时机。准备建仓或计划建仓的，运气好会,股市嫩韭菜nb,05-20 16:57,"/news,600276,1036220225.html"
8026,20,机构大逃亡！去年一季股东人数13.2万人，今年一季股东人数36.7万人，一年时间,龙腾1992,05-20 14:29,"/news,600276,1027747890.html"
17422,55,大家肯定很想知道恒瑞医药调整的位置，我给你们这两个位置，75左右是大概率要到，另,骑牛牛散人,05-19 14:40,"/news,600276,1032011896.html"
5243,14,这一轮不断加仓的只有恒瑞，只要不出现自己作死的黑天鹅事件爱你，对恒瑞的持有将是长,张老人家,05-18 10:56,"/news,600276,1035206971.html"
3125,11,即将暴涨 疯狂抢筹,A资本博弈,05-18 09:01,"/news,600276,1024985656.html"
9718,23,今日主力净流入个股TOP10：,大王叫我来巡山g,05-17 08:34,"/news,600276,1034519868.html"
6127,33,去年底我就提醒你们，恒瑞医药就是基金机构们抱团吹牛出来的所谓创新药一哥，业绩其实,幽岚缈笙歌,05-16 01:07,"/news,600276,1033469212.html"
3068,9,我选择跟伟大的企业一起成长，所以中长期的波动，我都不会在意。中国强大，需要更多创,上海街最靓的仔,05-14 14:15,"/news,600276,1033719648.html"
2824,15,恒瑞医药财务造假被罚，带金销售迹象明显，创新药陷瓶颈,沉锚效应,05-13 15:29,"/news,600276,1024932677.html"
6778,39,恒瑞今年这个走式，不像是正常回撤啊！不知道哪里出了问题，前天吃饭听我姐说，她们医,开心果A88,05-13 09:58,"/news,600276,1032581554.html"
10828,63,热烈祝贺恒瑞医药被评为五月份的金股！,大王叫我来巡山g,05-13 08:58,"/news,600276,1030594924.html"
3556,8,恒瑞为什么一直跌？还是在于它的成长逻辑，一、六月份重磅药进集采，降价幅度存在不确,老唐cgkl,05-12 15:37,"/news,600276,1031807218.html"
6297,31,最新内部消息，恒瑞医药还将会继续腰斩的最新内部原因。买了的散户直接可以吃一碗大面,黄牛跟风者,05-12 13:40,"/news,600276,1026182327.html"
6924,11,姑奶奶从不看这线那线照样赚钱。,大姑神仙,05-10 22:16,"/news,600276,1030701573.html"
6323,12,看了近10年5月份恒瑞医药涨跌情况，8次下跌，两次上涨，如果再排除2015年5月,一阳至,05-08 22:13,"/news,600276,1031848849.html"
