,open,close,high,low,volume,money
2020-05-25,41.2,42.45,43.15,40.68,28002517.0,1186454022.19
2020-05-26,42.84,43.54,43.88,42.27,26599146.0,1153292369.7
2020-05-27,43.83,42.42,43.83,42.33,15856906.0,678195379.65
2020-05-28,42.35,41.61,42.54,40.81,21418394.0,889806354.34
2020-05-29,41.72,41.85,42.31,41.05,17756397.0,742215293.64
2020-06-01,42.35,43.16,43.26,41.55,24511716.0,1048054004.37
2020-06-02,43.14,42.1,43.75,41.75,21871029.0,925854839.09
2020-06-03,42.36,44.22,45.25,42.35,54095276.0,2373598467.59
2020-06-04,44.45,45.56,45.8,43.95,35886599.0,1620528086.41
2020-06-05,45.73,46.13,46.23,45.1,23466484.0,1071783629.33
2020-06-08,46.65,46.64,47.55,45.95,29944401.0,1396142434.86
2020-06-09,46.36,47.33,47.57,45.59,23351913.0,1093589247.93
2020-06-10,47.94,48.31,48.35,47.11,25202181.0,1209030304.68
2020-06-11,48.35,48.94,49.1,48.13,25264927.0,1231283590.89
2020-06-12,47.94,51.44,53.42,47.78,61339633.0,3102882871.97
2020-06-15,51.94,51.54,52.64,50.94,30535239.0,1579789999.91
2020-06-16,52.34,52.69,53.79,51.45,40839872.0,2152951602.66
2020-06-17,52.69,53.89,54.25,52.44,33662036.0,1801739318.83
2020-06-18,54.24,51.12,54.24,49.82,55555128.0,2849168913.46
2020-06-19,51.09,54.26,54.66,50.75,38005678.0,2015345103.42
2020-06-22,54.45,54.46,55.24,53.25,31244463.0,1692257120.51
2020-06-23,54.46,55.34,56.13,54.05,29173971.0,1608188139.31
2020-06-24,54.94,53.61,55.42,52.55,40123330.0,2139747198.97
2020-06-29,54.43,52.69,55.68,52.23,52819507.0,2839009012.25
2020-06-30,52.84,52.3,53.33,51.3,37791191.0,1984195462.76
2020-07-01,52.34,51.72,52.46,50.45,36774581.0,1885329703.16
2020-07-02,51.94,52.83,53.92,51.28,49698424.0,2625772139.98
2020-07-03,53.42,52.91,54.12,51.83,47647726.0,2531410363.19
2020-07-06,52.84,51.87,52.88,50.59,54179677.0,2802908863.14
2020-07-07,51.14,52.09,52.39,50.54,70541549.0,3658637102.19
2020-07-08,52.44,51.24,52.5,49.98,50950235.0,2596560708.17
2020-07-09,51.3,54.43,54.91,51.26,71078457.0,3819848710.22
2020-07-10,54.87,57.93,58.11,53.95,70221842.0,3985894885.64
2020-07-13,58.73,62.61,63.72,57.94,75226485.0,4578709011.28
2020-07-14,61.93,63.31,64.99,60.73,65472730.0,4122040957.82
2020-07-15,63.44,63.23,68.1,63.23,67283494.0,4444780923.37
2020-07-16,62.14,56.95,65.4,56.91,71545290.0,4315145725.9
2020-07-17,57.46,58.65,60.03,56.92,40257349.0,2350255139.46
2020-07-20,59.83,60.33,61.54,57.71,35479986.0,2112718475.05
2020-07-21,59.93,64.58,65.52,59.48,53921659.0,3418240955.65
2020-07-22,63.93,64.05,66.85,63.06,53551107.0,3481680003.48
2020-07-23,62.95,69.9,69.92,62.81,76312123.0,5129438882.7
2020-07-24,67.72,65.73,71.42,65.54,77484849.0,5267330762.99
2020-07-27,66.92,68.0,71.15,66.73,65501155.0,4518968565.29
2020-07-28,69.62,66.97,69.92,64.09,65423392.0,4349562429.39
2020-07-29,65.93,71.9,72.41,65.5,66047575.0,4617105647.93
2020-07-30,71.96,73.43,77.41,70.92,69394206.0,5147728478.71
2020-07-31,73.29,80.77,80.77,72.42,63573642.0,4928441652.2
2020-08-03,85.89,87.12,88.78,83.01,80415475.0,6920282938.84
2020-08-04,85.0,83.36,89.54,80.8,75276421.0,6402667565.04
2020-08-05,81.72,91.7,91.7,80.81,52890394.0,4583309112.44
2020-08-06,94.44,82.71,95.79,82.53,109394164.0,9506380253.14
2020-08-07,84.29,81.03,84.69,76.09,86468862.0,6933913020.29
2020-08-10,80.59,79.52,81.57,74.57,61990010.0,4839452777.42
