read,conmment,title,author,renew,link
1018,0,沃森生物本周融资净买入6.97亿元，两市排名第二,两融追踪,05-23 15:05,"/news,300142,1037298328.html"
2623,16,沃森生物：公司新冠mRNA疫苗目前正在开展临床试验，相关接种程序需要以药监部门后续批准的程序为准,沃森生物资讯,05-21 21:46,"/news,300142,1037156721.html"
5121,34,沃森生物：与艾博生物的相关合作项目在按计划持续推进中,沃森生物资讯,05-21 21:22,"/news,300142,1037122939.html"
656,1,沃森生物：融资余额69.31亿元，创历史新高（05-20）,沃森生物资讯,05-21 09:11,"/news,300142,1036727124.html"
507,0,沃森生物(300142)融资融券信息(05-20),沃森生物资讯,05-21 08:46,"/news,300142,1036720817.html"
7765,46,大宗交易：沃森生物成交2992.5万元，折价8.48%（05-20）,沃森生物资讯,05-20 18:00,"/news,300142,1036612097.html"
550,0,沃森生物：融资余额67.48亿元，创历史新高（05-19）,沃森生物资讯,05-20 09:19,"/news,300142,1036237192.html"
485,0,沃森生物(300142)融资融券信息(05-19),沃森生物资讯,05-20 08:56,"/news,300142,1036228961.html"
527,0,沃森生物：融资余额66.82亿元，创历史新高（05-18）,沃森生物资讯,05-19 09:18,"/news,300142,1035751003.html"
423,0,沃森生物(300142)融资融券信息(05-18),沃森生物资讯,05-19 09:07,"/news,300142,1035747164.html"
2152,6,沃森生物：公司13价肺炎球菌多糖结合疫苗不是灭活疫苗,沃森生物资讯,05-19 07:51,"/news,300142,1035969805.html"
520,0,沃森生物：融资余额63.89亿元，创历史新高（05-17）,沃森生物资讯,05-18 09:11,"/news,300142,1035296717.html"
486,0,沃森生物(300142)融资融券信息(05-17),沃森生物资讯,05-18 08:59,"/news,300142,1035293537.html"
4536,34,沃森生物董事长通过大宗交易折价转让股份给自己控制的企业,沃森生物资讯,05-17 20:36,"/news,300142,1035233329.html"
3361,4,沪深两市5月17日74只个股发生120笔大宗交易 共成交28.92亿元,沃森生物资讯,05-17 18:01,"/news,300142,1035174465.html"
