read,conmment,title,author,renew,link
5581,30,沃森生物正在经历黎明前最后黑暗和狂风暴雨,复利高增长,05-23 13:54,"/news,300142,1037165022.html"
23295,809,《沃森生物“赶-超”贵州茅台》,复利高增长,05-23 13:54,"/news,300142,1027711992.html"
4271,33,【沃森生物】坚韧信心！踏准节奏！！控制好仓位！！！,炒股靠时机,05-23 12:51,"/news,300142,1037189438.html"
19430,193,我不是来看热闹的，沃森曾经我也拥有过，那是上半年的事！,南沙居士,05-23 11:32,"/news,300142,984509100.html"
16951,98,德国新闻：世卫组织独立调查委员会专家组提出‘’三点‘’要求,卖方市场,05-23 10:44,"/news,300142,1033984423.html"
2066,13,就短线而言，外围和A股市场相对稳定，个股也没特别利空，股价放量大跌这只是上涨过快,孤鹰盘旋,05-23 10:08,"/news,300142,1037192505.html"
3763,7,看看西藏药业，也是mRNA路线，才一期临床，股价倒反超沃森生物了，沃森不可估量。,小户巨亏,05-23 09:33,"/news,300142,1037167884.html"
5064,39,沃森小店继续底仓加波段，昨天71.15卖，今天68.42买,核心资产后援会长,05-23 07:50,"/news,300142,1035390911.html"
3177,23,大家别再唧唧歪歪，拿出实际行动来支持沃森，自己没小孩宣传一下13价的优势，多宣传,炒股怒赚三百万,05-22 23:48,"/news,300142,1037101155.html"
13948,177,【沃森生物】选好赛车！踏准节奏！！控制好油门《续上篇》,炒股靠时机,05-22 20:28,"/news,300142,1034066231.html"
15302,119,因基金业暴出了叶飞门，故将这两只股调出金池。,野牛1,05-22 18:31,"/news,300142,1034570841.html"
14582,122,【沃森生物】选好赛车！踏准节奏！！控制好油门！！！,炒股靠时机,05-22 13:29,"/news,300142,1030631096.html"
3730,10,沃森和艾博的关系真是搞不懂。艾博B轮沃森又没参与。所有新冠疫苗的消息基本上来自艾,玩的是青春,05-22 12:25,"/news,300142,1037074612.html"
3674,6,你们都是因为新冠疫苗进来的？我之前进来是因为沃森有hpv癌疫苗进来的~不会只,有钱花的花花,05-22 10:50,"/news,300142,1037126338.html"
2168,9,我发现沃森的散户真逗，都涨了多少了，调整一下怎么了，再说今天也是受到了东北茅跌停,一醉江南,05-22 08:41,"/news,300142,1037108639.html"
5920,15,沃森生物预期下周将公布本月30日mRNA新冠疫苗三期在墨西哥开展试验，同时将公布,行稳致远633,05-21 22:24,"/news,300142,1037076602.html"
5905,16,35买沃森，不知不觉翻倍了从来没发过帖，今天说两句。你们在讨论疫情，讨论mRNA,彦桢资产,05-21 21:58,"/news,300142,1035627429.html"
7273,7,埃布拉德在推特发文称：“中国方面已经正式通知我们，他们将在墨西哥开始（III期试,战神崛起勇士,05-21 21:02,"/news,300142,1037092635.html"
3282,32,可怜的韭菜也只有韭菜的命。竟然把朋友当敌人。,野牛1,05-21 20:21,"/news,300142,1035694173.html"
2866,11,补前几日30分钟跳空缺口，一步到位；加上10日线boll也是一步到中轨。一切都是,吴国郡王,05-21 19:29,"/news,300142,1037063381.html"
20392,149,沃森生物，从中线的角度考虑,南山惠,05-21 19:05,"/news,300142,985169329.html"
8199,71,目前属于强势整理阶段，生物疫苗是最具有确定性的板块啦！本次调整就是选大哥的时候啊,奇点几点,05-21 15:30,"/news,300142,1036568501.html"
3755,8,非常看好沃森生物，未来几年，让我们共同见证中国人自己的mRNA疫苗横空出世，港股,丹心唯邦,05-21 11:11,"/news,300142,1036213264.html"
1037,6,36的成本，今天本来准备60以上出，结果见到70，果断减仓三分之二。谢谢！今天开,睡月无声,05-21 10:47,"/news,300142,1034439131.html"
5501,14,技术指标超了，周一高开高走就是逢高卖；一路走低逢低就可以买。高点75，低点66.,吴国郡王,05-21 08:37,"/news,300142,1034471236.html"
3967,41,开张大吉啊，早上卖出2个波段仓，去年底59.33进的货已经清空,核心资产后援会长,05-20 21:35,"/news,300142,1034136313.html"
2959,6,买股买沃森，只要跌就买，越跌越买，什么时候买都是赚钱的，根本不用看盘，沃森从来没,固执e韭菜,05-20 16:25,"/news,300142,1036209757.html"
4370,10,最好的疫苗，最低的股价...沃森mRNA疫苗各项指标都优于国外同类产品，而且储存,花心仔,05-20 15:27,"/news,300142,1036236594.html"
3710,16,不得不面对现实，疫苗年底已经过剩，全球74亿人口.除小孩老人，也就50亿能打疫苗,地球告密者,05-20 12:43,"/news,300142,1032952251.html"
3039,18,有些人的账户还没有关闭，密码还没有忘记，天天搞来搞去，得不偿失，成本越搞越高。调,奇点几点,05-19 22:50,"/news,300142,1035969559.html"
6744,17,欧洲药品管理局于2021年5月17日已批准更改BioNTech新冠疫苗现有储存条件。 解冻后未稀释的新冠疫苗可以在2度至8度的冷藏柜下保存31天，而非如以往般只可在冷藏柜温度下保存5天。在31天内，解,股海_神雕,05-19 21:32,"/news,300142,1035667972.html"
11119,75,沃森浮赢超过200W+了，大致估计了下，今天总资产浮赢70W+，再创历史新高，沃,核心资产后援会长,05-19 16:10,"/news,300142,1033497513.html"
5946,18,今天若一根长阴你怎么操作？对于中长线，无惧一时震荡，即便深度回踩；但对于短线，以,非知名小散,05-19 15:20,"/news,300142,1035720456.html"
5592,92,60.44是B反最高价。注意观察这个位置能否突破，突破哪怕一分钱，则没有C浪下跌,骑扬四海得文泰来,05-19 13:11,"/news,300142,1033330587.html"
5612,9,沃森生物值得拥有[牛][财力]随时有大资本进入抢筹，此时不买更待何时？月底突破前,战神崛起勇士,05-19 11:26,"/news,300142,1035674990.html"
9233,18,从今天953万股，68.2元大宗交易说起介入沃森快半年了，第一次关注大宗交易的情,旁观者清87,05-19 10:27,"/news,300142,1035164660.html"
6623,43,按目前中国疫苗的接种速度，每天接种1500万人，100天之后，可接种15亿人。沃,问心无愧2,05-19 09:55,"/news,300142,1035616254.html"
4738,11,沃森生物的年产1.2亿剂疫苗生产厂房将于8月在玉溪建成投产！从目前多方因素分析其,佛心不改,05-19 04:20,"/news,300142,1035656631.html"
9173,16,沃森主力思路，如有雷同纯属巧合,复利高增长,05-18 20:44,"/news,300142,1033088647.html"
5555,21,外交部:中国支持发展中国家豁免疫苗知识产权的要求。T们，你们做T的，看到这个消息,掘金报告,05-18 17:34,"/news,300142,1035147439.html"
4150,18,15:49【外交部：发展中国家希望豁免新冠疫苗知识产权的诉求，中方完全理解并支持,股友5vaeOY,05-18 10:32,"/news,300142,1035143314.html"
1789,8,15:47【外交部：发展中国家希望豁免新冠疫苗知识产权的诉求中方完全理解并支持】,gcffcggcffcg,05-18 10:11,"/news,300142,1035165263.html"
4351,27,#复星认为mRNA新冠疫苗明后年需求非常大，才敢现在建厂，明年才生产出mRNA新,寻100倍股,05-18 08:35,"/news,300142,1032326119.html"
3406,18,#NAME?,寻100倍股,05-18 08:09,"/news,300142,1034389421.html"
5870,6,沃森今天收盘70元，正好实现了之前预期的年内股价目标。基于目前沃森基本面的良好变,我有我风采36529,05-18 00:07,"/news,300142,1035213787.html"
2495,9,成立喜云的目的就是要实控沃森这张大牌，公司制的管控比个人更利于资本运作，李总的股,股友1EztvA,05-17 21:46,"/news,300142,1035196815.html"
2930,13,龙头一揽子买入法的精髓在于某个发展前景广阔的赛道在没有公司分出高低的情况下，全部,炒股怒赚三百万,05-17 15:40,"/news,300142,1034666867.html"
2660,15,市值管理一一狠杀高市盈率高估值机构抱团股，前期大幅拉高的医美、二胎、疫苗和各类妖,行稳致远633,05-17 15:36,"/news,300142,1034880686.html"
