date,pos,neg,read
2020-05-24,1.0,1.0,3046
2020-05-25,17.0,0.0,3556
2020-05-25,0.0,0.0,5421
2020-05-26,0.0,0.0,4457
2020-05-31,1.0,0.0,5353
2020-06-01,0.0,0.0,2320
2020-06-01,0.0,0.0,2106
2020-06-06,1.0,1.0,3691
2020-06-12,0.0,0.0,1481
2020-06-14,1.0,1.0,4058
2020-06-14,3.0,0.0,20955
2020-06-14,0.0,4.0,4821
2020-06-18,0.0,0.0,9572
2020-06-20,1.0,4.0,5765
2020-06-23,1.0,0.0,6010
2020-06-24,3.5,2.0,2771
2020-06-26,0.0,0.0,3081
2020-06-26,2.0,0.0,5848
2020-06-28,0.0,0.0,4449
2020-06-29,0.0,3.0,4030
2020-06-29,0.0,0.0,16800
2020-06-29,64.0,0.0,1499
2020-07-02,2.0,0.0,6073
2020-07-02,9.0,0.0,3769
2020-07-02,3.0,5.0,6710
2020-07-02,2.0,0.0,8631
2020-07-03,1.0,2.0,2172
2020-07-04,1.0,0.0,8028
2020-07-06,1.0,1.0,4242
2020-07-09,2.0,1.0,4344
2020-07-09,0.0,0.0,5948
2020-07-09,0.0,0.0,3611
2020-07-10,0.0,0.0,2242
2020-07-10,1.0,1.0,5321
2020-07-10,2.0,0.0,4087
2020-07-12,0.0,0.0,3455
2020-07-15,1.0,0.0,3117
2020-07-15,0.0,0.0,7278
2020-07-15,0.0,1.0,2402
2020-07-16,2.0,1.0,4082
2020-07-16,0.0,0.0,9754
2020-07-17,0.0,0.0,4676
2020-07-17,0.0,0.0,5424
2020-07-18,1.0,0.0,2638
2020-07-19,37.0,4.0,5302
2020-07-19,5.0,0.0,4328
2020-07-21,0.0,1.0,7139
2020-07-23,3.0,0.0,4047
2020-07-23,0.0,0.0,4475
2020-07-23,0.0,1.0,12237
2020-07-23,1.0,0.0,3987
2020-07-23,1.0,1.0,21190
2020-07-23,1.0,0.0,19856
2020-07-23,0.0,0.0,3942
2020-07-24,0.0,0.0,16167
2020-07-26,0.0,0.0,5666
2020-07-26,0.0,0.0,8916
2020-07-26,1.0,1.0,9390
2020-07-26,0.0,1.0,8492
2020-07-27,3.0,0.0,4379
2020-07-27,0.0,1.0,6231
2020-07-27,1.0,2.0,7206
2020-07-27,1.0,1.0,4745
2020-07-27,0.0,0.0,8729
2020-07-27,0.0,0.0,3800
2020-07-27,0.0,2.0,5451
2020-07-28,7.0,1.0,8801
2020-07-28,0.0,0.0,8211
2020-07-28,1.0,0.0,2906
2020-07-28,0.0,0.0,5757
2020-07-29,0.0,0.0,9136
2020-07-29,0.0,0.0,5679
2020-07-29,0.0,0.0,8665
2020-07-29,0.0,0.0,1347
2020-07-30,1.0,0.0,4873
2020-07-30,0.0,0.0,5185
2020-07-30,1.0,-1.0,5847
2020-07-30,0.0,0.0,7125
2020-07-30,2.0,0.0,7689
2020-07-30,1.0,0.0,12563
2020-07-30,1.0,1.0,6177
2020-07-30,1.0,0.0,4467
2020-07-30,1.0,1.0,1735
2020-07-31,1.0,0.0,4226
2020-07-31,1.0,6.0,2713
2020-07-31,0.0,0.0,6179
2020-07-31,1.0,0.0,3210
2020-07-31,2.0,0.0,14785
2020-07-31,3.0,1.0,6681
2020-07-31,3.0,0.0,9063
2020-07-31,0.0,0.0,6049
2020-07-31,1.0,3.0,3279
2020-07-31,4.0,0.0,12354
2020-08-01,0.0,1.0,7086
2020-08-01,1.0,0.0,13318
2020-08-01,0.0,0.0,6923
2020-08-03,3.0,0.0,8537
2020-08-03,0.0,0.0,10987
2020-08-03,1.0,0.0,9853
2020-08-03,0.0,0.0,6096
2020-08-03,4.0,0.0,12547
2020-08-03,8.0,1.0,5170
2020-08-04,1.0,1.0,4244
2020-08-04,1.0,1.0,7753
2020-08-04,2.0,0.0,7675
2020-08-04,3.0,0.0,19848
2020-08-04,1.0,0.0,4554
2020-08-04,0.0,0.0,7898
2020-08-04,2.0,0.0,3467
2020-08-04,0.0,2.0,3498
2020-08-04,6.0,0.0,8632
2020-08-04,1.0,1.0,2950
2020-08-05,0.0,0.0,16372
2020-08-05,4.0,1.0,2316
2020-08-05,1.0,1.0,6679
2020-08-05,2.0,1.0,15039
2020-08-05,0.0,6.0,20525
2020-08-05,0.0,1.0,4330
2020-08-05,0.0,0.0,9165
2020-08-05,4.0,0.0,7560
2020-08-05,1.0,0.0,5874
2020-08-05,1.0,0.0,3946
2020-08-06,2.0,10.0,13860
2020-08-06,3.0,0.0,7061
2020-08-06,0.0,1.0,14728
2020-08-06,3.0,0.0,3884
2020-08-06,2.0,0.0,187000
2020-08-06,0.0,0.0,6310
2020-08-06,10.0,0.0,3425
2020-08-06,1.0,0.0,4335
2020-08-06,0.0,7.0,12039
2020-08-06,4.0,0.0,12894
2020-08-06,0.0,1.0,4540
2020-08-07,0.0,0.0,8886
2020-08-07,1.0,7.0,17805
2020-08-07,2.0,0.0,2094
2020-08-07,2.0,0.0,1756
2020-08-07,2.0,0.0,6241
2020-08-07,4.0,2.0,16133
2020-08-07,0.0,0.0,26437
2020-08-07,4.0,0.0,5260
2020-08-07,2.0,1.0,5777
2020-08-07,0.0,1.0,2625
2020-08-07,2.0,0.0,3447
2020-08-07,0.0,1.0,14407
2020-08-07,32.0,0.0,6428
2020-08-08,0.0,1.0,2366
2020-08-08,2.0,1.0,8181
2020-08-08,0.0,8.0,16388
2020-08-08,1.0,1.0,2512
2020-08-08,0.0,0.0,24467
2020-08-08,0.0,67.0,4780
2020-08-08,6.0,0.0,10539
2020-08-08,1.0,1.0,4302
2020-08-08,4.0,1.0,3183
2020-08-08,0.0,0.0,3932
2020-08-08,0.0,0.0,22941
2020-08-08,0.0,0.0,4746
2020-08-08,0.0,0.0,6062
2020-08-08,6.0,2.0,8155
2020-08-09,1.0,1.0,8276
2020-08-09,6.0,3.0,16016
2020-08-09,0.0,0.0,8682
2020-08-09,7.0,5.0,1699
2020-08-09,0.0,0.0,2903
2020-08-09,7.0,1.0,1933
2020-08-09,0.0,1.0,3561
2020-08-09,0.0,0.0,4717
2020-08-09,1.0,0.0,5392
2020-08-09,0.0,1.0,1250
2020-08-10,0.0,1.0,7387
2020-08-10,0.0,1.0,5542
2020-08-10,7.0,5.0,3572
2020-08-10,0.0,0.0,4690
2020-08-10,0.0,0.0,3080
2020-08-10,1.0,0.0,8045
2020-08-10,0.0,5.0,5392
2020-08-10,0.0,1.0,8434
2020-08-10,0.0,0.0,4559
2020-08-10,1.0,0.0,9812
2020-08-10,2.0,0.0,4437
2020-08-10,0.0,10.0,21107
2020-08-11,4.0,0.0,7270
2020-08-11,0.0,1.0,8487
2020-08-11,2.0,0.0,7277
2020-08-11,0.0,0.0,5772
2020-08-11,1.0,1.0,22440
2020-08-11,1.0,0.0,5228
2020-08-12,2.0,1.0,3833
2020-08-12,2.0,0.0,4727
2020-08-12,5.0,0.0,4788
2020-08-12,0.0,0.0,2957
2020-08-12,1.5,0.0,6187
2020-08-12,1.0,0.0,5656
2020-08-12,1.0,1.0,7845
2020-08-12,0.0,1.0,5047
2020-08-12,0.0,0.0,2189
2020-08-12,2.0,0.0,9238
2020-08-12,7.0,0.0,12342
2020-08-12,0.0,1.0,1516
2020-08-12,7.0,5.0,4538
2020-08-13,1.0,0.0,7705
2020-08-13,0.0,2.0,7288
2020-08-13,3.0,0.0,11128
2020-08-13,1.0,0.0,3820
2020-08-13,2.0,3.0,18027
2020-08-13,1.0,1.0,3538
2020-08-13,0.0,1.0,2488
2020-08-13,1.0,0.0,15964
2020-08-14,0.0,0.0,4838
2020-08-14,0.0,0.0,6038
2020-08-14,1.0,1.0,1729
2020-08-14,0.0,0.0,10374
2020-08-14,1.0,1.0,6807
2020-08-14,1.0,0.0,8026
2020-08-15,0.0,0.0,7441
2020-08-15,3.0,2.0,7074
2020-08-15,0.0,0.0,3265
2020-08-16,1.0,1.0,4814
2020-08-16,1.0,2.0,5171
2020-08-16,0.0,0.0,3350
2020-08-16,1.0,3.0,13737
2020-08-16,6.0,1.0,9659
2020-08-16,0.0,0.0,9057
2020-08-16,2.0,1.0,4395
2020-08-17,0.0,0.0,8300
2020-08-17,0.0,0.0,28264
2020-08-17,1.0,1.0,11516
2020-08-17,1.0,0.0,3573
2020-08-17,0.0,0.0,27044
2020-08-17,0.0,0.0,7674
2020-08-18,0.0,0.0,15962
2020-08-19,4.0,0.0,12221
2020-08-19,0.0,0.0,18437
2020-08-19,0.0,0.0,14365
2020-08-19,0.0,1.0,5675
2020-08-19,1.0,0.0,3504
2020-08-19,1.0,1.0,12309
2020-08-20,2.0,0.0,10096
2020-08-20,0.0,0.0,4034
2020-08-20,0.5,0.0,2186
2020-08-20,1.0,0.0,8015
2020-08-20,7.0,1.0,1632
2020-08-20,0.0,1.0,7912
2020-08-21,7.0,6.0,3477
2020-08-21,0.0,0.0,2152
2020-08-21,1.0,2.0,1587
2020-08-21,0.0,0.0,11819
2020-08-21,1.0,0.0,4037
2020-08-21,2.0,0.0,9999
2020-08-22,-1.0,0.0,3155
2020-08-22,0.0,0.0,18621
2020-08-23,0.0,0.0,1978
2020-08-23,0.0,0.0,6248
2020-08-23,0.0,1.0,2396
2020-08-23,0.0,0.0,19570
2020-08-23,1.0,0.0,1226
2020-08-23,1.0,0.0,2210
2020-08-24,1.0,1.0,5015
2020-08-24,1.0,0.0,9583
2020-08-24,0.0,0.0,2440
2020-08-24,0.0,0.0,9848
2020-08-24,0.0,0.0,5333
2020-08-25,0.0,1.0,4081
2020-08-25,0.0,0.0,3726
2020-08-25,0.0,1.0,15597
2020-08-25,2.0,0.0,3820
2020-08-25,0.0,1.0,2961
2020-08-25,1.0,2.0,27146
2020-08-25,0.0,0.0,4333
2020-08-25,3.0,7.0,9528
2020-08-25,2.0,1.0,24914
2020-08-26,1.0,1.0,8868
2020-08-26,0.0,0.0,10490
2020-08-26,2.0,1.0,3469
2020-08-26,1.0,0.0,5438
2020-08-26,0.0,0.0,9556
2020-08-26,0.0,0.0,6985
2020-08-26,1.0,0.0,4443
2020-08-27,1.0,0.0,9944
2020-08-27,1.0,0.0,2567
2020-08-27,1.0,0.0,2825
2020-08-27,5.0,0.0,5940
2020-08-28,6.0,1.0,3823
2020-08-28,0.0,0.0,2608
2020-08-28,0.0,0.0,13746
2020-08-28,2.0,0.0,3879
2020-08-28,0.0,0.0,6801
2020-08-28,1.0,2.0,4499
2020-08-28,3.0,0.0,4275
2020-08-29,1.0,0.0,16800
2020-08-29,0.0,1.0,3422
2020-08-30,1.0,0.0,3539
2020-08-30,0.0,1.0,3422
2020-08-30,2.0,8.0,45359
2020-08-31,0.0,0.0,3549
2020-08-31,0.0,0.0,4148
2020-08-31,1.0,0.0,35523
2020-08-31,2.0,1.0,7591
2020-08-31,2.0,3.0,2927
2020-08-31,2.0,8.0,7660
2020-09-01,0.0,0.0,5109
2020-09-01,0.0,1.0,10049
2020-09-01,0.0,0.0,6033
2020-09-01,0.0,0.0,10541
2020-09-01,1.0,1.0,6144
2020-09-01,0.0,1.0,7625
2020-09-01,1.0,1.0,5892
2020-09-01,1.0,1.0,9461
2020-09-01,5.0,4.0,6303
2020-09-02,0.0,0.0,4471
2020-09-02,0.0,0.0,4144
2020-09-02,1.0,5.0,5576
2020-09-02,1.0,1.0,3073
2020-09-02,1.0,6.0,1582
2020-09-03,1.0,0.0,4183
2020-09-03,0.0,0.0,3069
2020-09-03,0.0,5.0,1393
2020-09-03,0.0,0.0,5265
2020-09-04,0.0,0.5,6694
2020-09-04,0.0,1.0,8467
2020-09-04,2.0,0.0,14383
2020-09-04,0.0,0.0,4479
2020-09-04,0.0,1.0,16383
2020-09-05,2.0,0.0,5848
2020-09-05,0.0,0.0,4226
2020-09-07,0.0,0.0,3796
2020-09-07,0.0,3.0,3308
2020-09-07,2.0,0.0,10492
2020-09-08,0.0,0.0,2620
2020-09-09,0.0,0.0,3061
2020-09-09,1.0,0.0,2903
2020-09-11,1.0,0.0,7376
2020-09-11,7.0,0.0,8290
2020-09-11,0.0,1.0,5197
2020-09-11,13.0,1.0,3082
2020-09-12,1.0,1.0,9486
2020-09-12,0.0,1.0,2015
2020-09-14,0.0,1.0,6836
2020-09-14,2.0,2.0,5352
2020-09-15,1.0,2.0,7113
2020-09-15,0.0,0.0,5037
2020-09-15,1.0,0.0,4453
2020-09-16,0.0,0.0,11859
2020-09-16,0.0,2.0,4461
2020-09-16,-1.0,1.0,9022
2020-09-16,1.0,0.0,7399
2020-09-17,0.0,0.0,4224
2020-09-17,0.0,1.0,8049
2020-09-17,1.5,0.0,5039
2020-09-18,-1.0,0.0,10205
2020-09-18,0.0,-1.0,3630
2020-09-18,3.0,0.0,9003
2020-09-18,8.0,1.0,14045
2020-09-19,0.0,0.0,1958
2020-09-19,0.0,3.0,3820
2020-09-21,0.0,0.0,5414
2020-09-23,0.0,2.0,7594
2020-09-23,0.0,0.0,18152
2020-09-23,0.0,0.0,6643
2020-09-23,1.0,0.0,12492
2020-09-24,0.0,1.0,10854
2020-09-24,2.0,0.0,12859
2020-09-28,1.0,1.0,12171
2020-10-03,1.0,0.0,18638
2020-10-03,0.0,1.0,6683
2020-10-06,0.0,4.0,3585
2020-10-08,0.0,0.0,12967
2020-10-09,2.0,3.0,3974
2020-10-10,0.0,0.0,6242
2020-10-12,0.0,4.0,4391
2020-10-12,4.0,1.0,14145
2020-10-13,0.0,0.0,9148
2020-10-13,1.0,0.0,11138
2020-10-13,0.0,0.0,11913
2020-10-14,2.0,0.0,14276
2020-10-14,2.0,0.0,22461
2020-10-14,8.0,0.0,12062
2020-10-14,1.0,0.0,14626
2020-10-14,0.0,1.0,4655
2020-10-16,7.0,0.0,19840
2020-10-16,3.0,1.0,11130
2020-10-16,0.0,0.0,18695
2020-10-16,2.0,0.0,12299
2020-10-17,1.0,1.0,7075
2020-10-19,0.0,1.0,3339
2020-10-19,0.0,0.0,3251
2020-10-20,0.0,1.0,9702
2020-10-20,0.0,0.0,4550
2020-10-20,0.0,2.0,9714
2020-10-20,0.0,0.0,7774
2020-10-21,1.0,0.0,6267
2020-10-21,1.0,0.0,19475
2020-10-22,0.0,0.0,4866
2020-10-22,1.0,0.0,7633
2020-10-23,0.0,0.0,18908
2020-10-23,1.0,0.0,2204
2020-10-23,1.0,0.0,24145
2020-10-23,1.0,0.0,9060
2020-10-24,0.0,0.0,14912
2020-10-24,4.0,2.0,9318
2020-10-25,2.0,2.0,1773
2020-10-25,1.0,1.0,6953
2020-10-26,3.0,2.0,13309
2020-10-26,0.0,2.0,6869
2020-10-27,2.0,2.0,17641
2020-10-28,0.0,0.0,6621
2020-10-28,1.0,0.0,14165
2020-10-29,0.0,0.0,13292
2020-10-30,0.0,1.0,8596
2020-10-30,2.0,1.0,12077
2020-10-31,0.0,0.0,22937
2020-11-01,2.0,0.0,2503
2020-11-01,0.0,2.0,2918
2020-11-01,1.0,0.0,25618
2020-11-02,2.0,1.0,8847
2020-11-02,0.0,-1.0,11534
2020-11-03,3.0,0.0,8229
2020-11-04,5.0,0.0,11238
2020-11-04,0.0,1.0,7099
2020-11-04,1.0,7.0,3295
2020-11-04,2.0,0.0,8103
2020-11-04,0.0,7.0,1620
2020-11-06,1.0,0.0,4629
2020-11-06,2.0,0.0,9214
2020-11-06,4.0,0.0,2420
2020-11-07,0.0,2.0,7853
2020-11-07,1.0,1.0,4351
2020-11-08,-3.0,1.0,4196
2020-11-08,0.0,0.0,5502
2020-11-09,0.0,1.0,3080
2020-11-09,1.0,1.0,3633
2020-11-10,5.0,0.0,5498
2020-11-10,2.0,0.0,5417
2020-11-10,0.0,0.0,5127
2020-11-10,0.0,0.0,8785
2020-11-10,1.0,0.0,3507
2020-11-10,0.0,0.0,3188
2020-11-10,1.0,37.0,9965
2020-11-10,1.0,1.0,7167
2020-11-10,1.0,0.0,9306
2020-11-11,0.0,3.0,3528
2020-11-11,0.5,1.0,5358
2020-11-11,1.0,1.0,10425
2020-11-11,1.0,0.0,5952
2020-11-11,0.0,0.0,1520
2020-11-11,0.0,0.0,23784
2020-11-12,2.0,0.0,14069
2020-11-12,1.0,0.0,4852
2020-11-12,1.0,1.0,7553
2020-11-12,1.0,0.0,5975
2020-11-12,0.0,5.0,7315
2020-11-12,0.0,2.0,6343
2020-11-12,3.0,1.0,7083
2020-11-13,2.0,0.0,3523
2020-11-13,0.0,0.0,4513
2020-11-13,1.0,0.0,2684
2020-11-13,0.0,0.0,4851
2020-11-13,0.0,0.0,7826
2020-11-13,0.0,9.0,11375
2020-11-13,0.0,1.0,6864
2020-11-13,0.0,0.0,10524
2020-11-13,0.0,7.0,3092
2020-11-13,2.0,1.0,11569
2020-11-14,0.0,0.0,2683
2020-11-14,1.0,0.0,7585
2020-11-14,2.0,2.0,7232
2020-11-15,1.0,5.0,7058
2020-11-15,7.0,0.0,10659
2020-11-15,0.0,1.0,6411
2020-11-15,1.0,0.0,8063
2020-11-15,0.0,0.0,6988
2020-11-15,0.0,6.0,4854
2020-11-15,2.0,1.0,23696
2020-11-16,2.0,-1.0,5577
2020-11-16,0.0,0.0,4898
2020-11-16,2.0,1.0,5718
2020-11-16,0.0,0.0,6791
2020-11-16,2.0,0.0,7653
2020-11-16,1.5,1.0,6996
2020-11-16,0.0,0.0,2449
2020-11-16,0.0,2.0,5253
2020-11-17,3.0,1.0,8769
2020-11-17,1.0,1.0,13084
2020-11-17,-1.0,1.0,7375
2020-11-17,1.0,0.0,12835
2020-11-17,0.0,1.0,26018
2020-11-17,8.0,0.0,7581
2020-11-18,2.0,-6.0,5725
2020-11-18,0.0,2.0,23105
2020-11-18,1.5,0.0,6586
2020-11-18,-4.0,0.0,6921
2020-11-18,2.0,0.0,12322
2020-11-18,0.0,0.0,6045
2020-11-18,3.0,0.0,5507
2020-11-18,0.0,1.0,1920
2020-11-18,4.0,1.0,9564
2020-11-18,1.0,0.0,9215
2020-11-19,2.0,1.0,10142
2020-11-19,0.0,1.0,4021
2020-11-19,1.0,0.0,13715
2020-11-19,0.0,1.0,9605
2020-11-19,0.0,0.0,12786
2020-11-19,0.0,0.0,8682
2020-11-19,0.0,0.0,6795
2020-11-19,0.0,0.0,3776
2020-11-20,2.0,0.0,8147
2020-11-20,0.0,1.0,12987
2020-11-20,1.0,0.0,9861
2020-11-20,0.0,1.0,11293
2020-11-20,0.0,5.0,1078
2020-11-21,5.0,0.0,7758
2020-11-21,2.0,0.0,2850
2020-11-21,5.0,0.0,3597
2020-11-21,0.0,0.0,4477
2020-11-21,1.0,0.0,12153
2020-11-21,1.0,1.0,5386
2020-11-21,0.5,0.0,8282
2020-11-22,3.0,2.0,16310
2020-11-22,3.0,2.0,5305
2020-11-22,11.0,0.0,13934
2020-11-22,7.0,1.0,9685
2020-11-22,0.0,0.0,7918
2020-11-22,18.0,0.0,3854
2020-11-22,2.0,1.0,6160
2020-11-22,0.0,0.0,3760
2020-11-22,1.0,1.0,3365
2020-11-23,2.0,1.0,6650
2020-11-23,0.0,0.0,5283
2020-11-23,1.0,0.0,4341
2020-11-23,2.0,1.0,3973
2020-11-23,1.0,2.0,5825
2020-11-23,1.0,2.0,5795
2020-11-23,0.0,0.0,14811
2020-11-24,1.0,2.0,19924
2020-11-24,1.0,0.0,30161
2020-11-25,0.0,1.0,5263
2020-11-25,0.0,0.0,5338
2020-11-25,1.0,0.0,2413
2020-11-25,0.0,1.0,3144
2020-11-25,0.0,0.0,5006
2020-11-25,2.0,1.0,8548
2020-11-26,5.0,0.0,5050
2020-11-26,0.0,0.0,6671
2020-11-26,1.0,1.0,5666
2020-11-26,1.0,0.0,9061
2020-11-26,6.0,0.0,1503
2020-11-26,2.0,0.0,14043
2020-11-27,2.0,0.0,8302
2020-11-27,1.0,3.0,6342
2020-11-27,0.0,0.0,8301
2020-11-27,1.0,3.0,1887
2020-11-27,2.0,0.0,4524
2020-11-27,0.0,1.0,4976
2020-11-28,0.0,1.0,3677
2020-11-28,1.0,1.0,3066
2020-11-28,1.0,0.0,11824
2020-11-29,0.0,1.0,7787
2020-11-29,0.0,6.0,2737
2020-11-29,0.0,0.0,30211
2020-11-30,1.0,1.0,6724
2020-11-30,1.0,1.0,8352
2020-12-01,0.0,1.0,2866
2020-12-01,1.0,0.0,20451
2020-12-01,1.0,1.0,10737
2020-12-02,1.0,1.0,7178
2020-12-02,1.0,0.0,9324
2020-12-02,0.0,0.0,5555
2020-12-03,0.0,0.0,3173
2020-12-03,0.0,0.0,4921
2020-12-03,1.0,0.0,2860
2020-12-03,2.0,0.0,5860
2020-12-04,0.0,0.0,1796
2020-12-05,4.0,1.0,12647
2020-12-05,1.0,0.0,14072
2020-12-05,0.0,1.0,8396
2020-12-05,1.0,0.0,6331
2020-12-06,0.0,0.0,3484
2020-12-07,1.0,0.0,9242
2020-12-07,0.0,1.0,3099
2020-12-08,2.0,0.0,9746
2020-12-08,1.0,1.0,6647
2020-12-09,0.0,0.0,3373
2020-12-10,0.0,0.0,2060
2020-12-11,0.0,0.0,8660
2020-12-11,0.0,48.0,3389
2020-12-11,0.0,0.0,1745
2020-12-11,1.0,0.0,6414
2020-12-11,0.0,1.0,7281
2020-12-12,2.0,1.0,7470
2020-12-12,1.0,6.0,7139
2020-12-12,2.0,0.0,16663
2020-12-13,0.0,0.0,8207
2020-12-13,1.0,0.0,2369
2020-12-13,1.0,1.0,7494
2020-12-13,5.0,6.0,11937
2020-12-14,0.0,1.0,12454
2020-12-14,0.0,0.0,7505
2020-12-14,0.0,0.0,4674
2020-12-14,1.0,3.0,11598
2020-12-15,0.0,1.0,6966
2020-12-15,0.0,0.0,9031
2020-12-16,0.0,1.0,3109
2020-12-16,1.0,0.0,2544
2020-12-16,1.0,0.0,30605
2020-12-16,1.0,0.0,3559
2020-12-16,0.0,0.0,9115
2020-12-16,6.0,0.0,8750
2020-12-17,3.0,0.0,4521
2020-12-17,1.0,1.0,19529
2020-12-17,0.0,0.0,6778
2020-12-17,2.0,1.0,6351
2020-12-17,0.0,1.0,6385
2020-12-17,1.0,1.0,5438
2020-12-17,0.0,0.0,3441
2020-12-18,0.0,0.0,13388
2020-12-18,0.0,0.0,14946
2020-12-18,1.0,0.0,15902
2020-12-18,1.0,0.0,17132
2020-12-19,1.0,1.0,5583
2020-12-19,7.0,0.0,18048
2020-12-19,2.0,0.0,7948
2020-12-19,0.0,0.0,6265
2020-12-20,0.0,0.0,5095
2020-12-20,0.0,1.0,5960
2020-12-21,0.0,6.0,6300
2020-12-21,0.0,1.0,1644
2020-12-21,4.0,0.0,7396
2020-12-21,1.0,0.0,14584
