date,pos,neg,read
2020-01-01,0,0,6179
2020-01-01,0,0,4168
2020-01-01,0,0,837
2020-01-01,0,0,907
2020-01-02,1,0,11215
2020-01-02,0,1,2290
2020-01-02,2,0,36471
2020-01-03,0,1,2242
2020-01-03,0,0,830
2020-01-03,0,0,747
2020-01-03,0,0,7300
2020-01-03,0,1,9217
2020-01-03,1,0,9581
2020-01-03,1,1,8300
2020-01-03,48,0,6222
2020-01-03,0,0,9090
2020-01-04,0,0,8879
2020-01-04,0,0,52416
2020-01-04,0,0,7775
2020-01-04,0,0,1087
2020-01-04,0,1,1938
2020-01-04,0,0,9453
2020-01-04,0,0,10878
2020-01-04,0,0,3742
2020-01-05,0,0,6388
2020-01-05,0,0,14873
2020-01-05,0,0,5072
2020-01-05,0,0,12219
2020-01-06,0,0,5454
2020-01-06,0,0,4331
2020-01-06,0,0,10873
2020-01-06,0,0,11540
2020-01-06,0,0,13329
2020-01-06,1,0,6688
2020-01-06,0,0,822
2020-01-06,0,0,5772
2020-01-07,0,0,5409
2020-01-07,0,0,707
2020-01-07,0,0,4420
2020-01-07,0,0,821
2020-01-07,0,0,7507
2020-01-08,0,0,4768
2020-01-08,0,0,763
2020-01-08,0,0,777
2020-01-08,0,0,5639
2020-01-08,1,0,8628
2020-01-08,1,0,7354
2020-01-08,1,0,5077
2020-01-09,0,0,764
2020-01-09,0,0,9602
2020-01-09,0,0,7812
2020-01-09,0,0,809
2020-01-09,1,0,40847
2020-01-09,0,0,7715
2020-01-09,0,0,5874
2020-01-09,0,0,4156
2020-01-10,0,0,721
2020-01-10,0,0,8697
2020-01-10,0,0,28154
2020-01-10,0,1,26608
2020-01-10,1,0,48105
2020-01-10,0,0,4223
2020-01-10,1,0,12441
2020-01-10,1,0,11318
2020-01-10,2,0,10052
2020-01-10,0,0,759
2020-01-10,0,0,9352
2020-01-10,0,0,4554
2020-01-11,0,0,15269
2020-01-11,1,1,4293
2020-01-11,0,0,9687
2020-01-11,0,0,4658
2020-01-11,1,0,14118
2020-01-11,1,0,9791
2020-01-11,0,0,896
2020-01-11,1,0,7113
2020-01-11,0,0,26034
2020-01-11,1,0,9424
2020-01-11,0,1,17540
2020-01-12,1,0,9877
2020-01-12,0,0,5425
2020-01-12,0,0,11360
2020-01-12,2,0,9070
2020-01-12,0,1,11712
2020-01-12,0,0,6198
2020-01-12,0,0,11495
2020-01-12,0,1,10948
2020-01-13,0,0,7775
2020-01-13,0,0,3980
2020-01-13,0,0,840
2020-01-13,0,0,6109
2020-01-13,0,0,11912
2020-01-13,1,0,5638
2020-01-13,0,0,15219
2020-01-13,0,0,18929
2020-01-14,1,0,7418
2020-01-14,0,1,6687
2020-01-14,0,0,3925
2020-01-14,0,0,919
2020-01-14,0,0,8816
2020-01-14,0,0,871
2020-01-14,0,0,6729
2020-01-15,1,0,5663
2020-01-15,0,0,4627
2020-01-15,0,0,1026
2020-01-15,0,0,873
2020-01-15,0,0,5759
2020-01-16,0,0,17101
2020-01-16,0,0,4690
2020-01-16,0,0,10277
2020-01-16,0,0,857
2020-01-16,0,0,4166
2020-01-16,0,0,772
2020-01-16,0,0,6022
2020-01-16,0,0,7364
2020-01-16,1,0,6717
2020-01-17,0,0,3168
2020-01-17,0,0,4473
2020-01-17,0,0,4523
2020-01-17,2,0,13478
2020-01-17,2,0,19281
2020-01-17,0,0,9741
2020-01-17,0,0,5247
2020-01-17,0,0,787
2020-01-17,0,0,4503
2020-01-17,0,0,18046
2020-01-17,0,0,916
2020-01-18,0,0,10180
2020-01-18,0,0,1033
2020-01-18,0,0,9524
2020-01-18,0,0,5889
2020-01-18,1,0,6379
2020-01-19,0,1,21684
2020-01-19,0,0,5130
2020-01-19,0,0,27872
2020-01-19,0,0,13307
2020-01-19,0,1,5988
2020-01-19,1,0,28364
2020-01-19,1,0,9934
2020-01-19,1,0,21031
2020-01-19,0,0,20319
2020-01-19,0,0,15653
2020-01-19,0,0,20374
2020-01-19,0,0,18563
2020-01-19,0,0,9434
2020-01-19,1,0,23372
2020-01-19,0,0,7887
2020-01-19,0,0,5453
2020-01-20,0,0,10163
2020-01-20,0,0,3988
2020-01-20,0,-1,19735
2020-01-20,0,0,10259
2020-01-20,0,0,1049
2020-01-20,0,0,4724
2020-01-21,0,0,934
2020-01-21,0,0,942
2020-01-21,0,0,11048
2020-01-21,0,0,3395
2020-01-21,0,0,18078
2020-01-21,0,0,10563
2020-01-21,0,0,4248
2020-01-22,0,0,3532
2020-01-22,0,0,5155
2020-01-22,0,0,20100
2020-01-22,0,0,28482
2020-01-22,0,0,4240
2020-01-22,0,0,5209
2020-01-22,0,0,730
2020-01-22,0,0,978
2020-01-22,0,1,240
2020-01-22,0,1,3933
2020-01-23,0,0,4085
2020-01-23,0,1,9119
2020-01-23,0,0,843
2020-01-23,0,0,7627
2020-01-23,1,0,32104
2020-01-23,1,1,5570
2020-01-23,0,0,5148
2020-01-23,0,0,17393
2020-01-23,0,0,871
2020-01-23,0,0,34547
2020-01-23,0,1,134000
2020-01-23,0,0,7012
2020-01-24,0,0,1016
2020-01-24,1,0,30791
2020-01-24,0,0,14525
2020-01-24,0,0,7983
2020-01-24,0,0,4302
2020-01-24,0,0,2853
2020-01-24,0,0,1190
2020-01-24,0,0,8295
2020-01-25,0,0,2007
2020-01-25,1,0,26044
2020-01-25,0,0,8909
2020-01-25,0,0,9248
2020-01-25,0,0,7637
2020-01-25,0,0,37672
2020-01-25,1,0,21055
2020-01-26,0,0,7222
2020-01-26,0,0,33047
2020-01-26,0,0,10147
2020-01-26,0,0,9625
2020-01-26,0,1,18836
2020-01-27,0,0,15080
2020-01-27,0,0,9751
2020-01-27,0,0,3240
2020-01-27,1,0,11709
2020-01-27,0,0,7086
2020-01-28,0,0,6690
2020-01-28,1,0,31814
2020-01-28,0,0,3336
2020-01-28,0,0,6867
2020-01-28,0,0,7102
2020-01-28,0,0,7376
2020-01-29,0,0,4248
2020-01-29,1,0,5209
2020-01-29,1,0,6539
2020-01-29,0,0,2913
2020-01-29,2,0,9299
2020-01-29,0,0,4476
2020-01-29,1,0,24205
2020-01-29,2,0,17065
2020-01-29,0,1,11421
2020-01-29,0,0,22967
2020-01-30,0,0,4951
2020-01-30,0,0,7841
2020-01-30,0,0,8796
2020-01-30,0,0,12081
2020-01-30,0,0,21487
2020-01-30,0,0,2566
2020-01-31,1,0,8589
2020-01-31,0,0,4313
2020-01-31,0,0,3385
2020-01-31,0,0,6505
2020-02-01,1,0,22845
2020-02-01,0,0,16561
2020-02-01,0,0,9269
2020-02-01,0,0,24307
2020-02-01,0,0,20871
2020-02-01,0,0,4612
2020-02-01,0,0,8295
2020-02-02,0,0,8641
2020-02-02,1,0,23105
2020-02-02,0,0,34791
2020-02-02,0,0,5347
2020-02-02,0,0,7733
2020-02-02,0,0,7362
2020-02-03,1,0,10566
2020-02-03,0,0,3063
2020-02-03,0,1,33007
2020-02-03,0,1,13094
2020-02-03,0,0,10619
2020-02-03,0,0,9222
2020-02-03,0,0,4982
2020-02-03,1,0,9593
2020-02-04,0,0,7336
2020-02-04,0,0,17596
2020-02-04,0,0,1000
2020-02-04,0,0,20024
2020-02-04,0,0,1133
2020-02-04,0,0,2773
2020-02-04,0,0,4712
2020-02-05,0,0,7315
2020-02-05,0,0,939
2020-02-05,0,0,1211
2020-02-05,0,0,3059
2020-02-05,0,0,23146
2020-02-06,0,1,6112
2020-02-06,0,0,14805
2020-02-06,0,0,5910
2020-02-06,0,0,1280
2020-02-06,0,0,1412
2020-02-06,0,0,3581
2020-02-06,0,0,9000
2020-02-06,0,0,3881
2020-02-07,0,0,9882
2020-02-07,0,0,1526
2020-02-07,0,0,1192
2020-02-07,0,0,3243
2020-02-07,0,0,6903
2020-02-08,1,0,66820
2020-02-08,0,0,7170
2020-02-08,0,0,1282
2020-02-08,0,0,8502
2020-02-09,0,1,28143
2020-02-09,0,1,4978
2020-02-09,0,0,8433
2020-02-09,0,0,8532
2020-02-09,0,1,16904
2020-02-10,0,0,4917
2020-02-10,0,1,18462
2020-02-10,0,0,3700
2020-02-10,0,0,1332
2020-02-10,0,0,9061
2020-02-10,0,0,11091
2020-02-11,0,0,2754
2020-02-11,0,0,11852
2020-02-11,0,0,835
2020-02-11,0,0,962
2020-02-11,0,0,10334
2020-02-12,0,0,4721
2020-02-12,1,0,7052
2020-02-12,0,1,2307
2020-02-12,0,0,686
2020-02-12,0,0,688
2020-02-12,0,1,4945
2020-02-12,1,0,11004
2020-02-12,1,0,15273
2020-02-12,0,0,13485
2020-02-12,0,0,12574
2020-02-12,0,0,9170
2020-02-12,0,0,2607
2020-02-13,1,0,19606
2020-02-13,1,1,19760
2020-02-13,0,1,4349
2020-02-13,0,0,7805
2020-02-13,0,0,10359
2020-02-13,0,0,5010
2020-02-13,0,0,751
2020-02-13,0,0,717
2020-02-14,0,0,6017
2020-02-14,0,0,43720
2020-02-14,1,0,36766
2020-02-14,1,0,6814
2020-02-14,0,0,9309
2020-02-14,0,0,3312
2020-02-14,0,0,8214
2020-02-14,0,0,762
2020-02-14,0,0,721
2020-02-14,0,0,10639
2020-02-15,0,0,9224
2020-02-15,0,0,10841
2020-02-15,0,0,1166
2020-02-16,0,0,8771
2020-02-16,0,0,4983
2020-02-16,0,0,29690
2020-02-16,0,0,11536
2020-02-17,0,0,7485
2020-02-17,1,0,22580
2020-02-17,1,0,5215
2020-02-17,0,0,1132
2020-02-17,0,0,3850
2020-02-17,0,0,6220
2020-02-17,0,0,5770
2020-02-18,0,0,3546
2020-02-18,0,0,5942
2020-02-18,0,0,6681
2020-02-18,0,0,4950
2020-02-18,0,0,11070
2020-02-18,0,0,3450
2020-02-18,0,0,5893
2020-02-18,0,0,4069
2020-02-18,0,1,6474
2020-02-18,0,0,761
2020-02-18,0,0,7740
2020-02-18,0,0,833
2020-02-18,0,0,6322
2020-02-18,0,0,10027
2020-02-18,1,0,5120
2020-02-18,0,0,3428
2020-02-18,0,0,5641
2020-02-19,0,0,9073
2020-02-19,0,1,7702
2020-02-19,0,0,6159
2020-02-19,0,0,753
2020-02-19,0,0,803
2020-02-19,0,0,7492
2020-02-20,0,0,6709
2020-02-20,0,0,981
2020-02-20,0,0,813
2020-02-20,0,0,7685
2020-02-21,0,0,883
2020-02-21,0,0,793
2020-02-21,0,0,6573
2020-02-21,0,0,8411
2020-02-22,0,0,1137
2020-02-22,0,0,6815
2020-02-22,0,0,6124
2020-02-22,1,0,35766
2020-02-22,1,0,36816
2020-02-23,1,0,5578
2020-02-23,0,0,6835
2020-02-23,0,0,5032
2020-02-23,0,2,11067
2020-02-23,0,0,9204
2020-02-23,0,0,28080
2020-02-23,0,0,37317
2020-02-23,0,0,5211
2020-02-23,0,0,37862
2020-02-24,0,0,14555
2020-02-24,1,0,17321
2020-02-24,1,0,2754
2020-02-24,0,0,9436
2020-02-24,0,0,8097
2020-02-24,0,0,1069
2020-02-24,0,0,19643
2020-02-24,0,0,4152
2020-02-24,0,0,9565
2020-02-24,0,0,13272
2020-02-24,1,0,10591
2020-02-24,0,0,5976
2020-02-24,1,0,13150
2020-02-25,0,0,35669
2020-02-25,0,0,6260
2020-02-25,1,0,13381
2020-02-25,0,0,5863
2020-02-25,0,0,4322
2020-02-25,0,0,7142
2020-02-25,1,0,12738
2020-02-25,0,0,601
2020-02-25,2,0,7033
2020-02-25,0,0,718
2020-02-26,2,0,4723
2020-02-26,0,0,2906
2020-02-26,0,0,7457
2020-02-26,0,0,4818
2020-02-26,0,1,1635
2020-02-26,1,0,1990
2020-02-26,1,0,11715
2020-02-26,1,0,9252
2020-02-26,0,0,3430
2020-02-26,0,0,1163
2020-02-26,1,0,8479
2020-02-26,0,0,916
2020-02-26,1,0,17401
2020-02-27,0,0,2710
2020-02-27,1,0,16739
2020-02-27,0,0,869
2020-02-27,0,0,1017
2020-02-27,0,0,11257
2020-02-27,0,0,30389
2020-02-27,0,0,8260
2020-02-27,0,0,7706
2020-02-27,0,0,3456
2020-02-28,1,0,11531
2020-02-28,0,0,4884
2020-02-28,0,0,945
2020-02-28,0,1,12870
2020-02-28,0,0,3757
2020-02-28,0,0,5215
2020-02-28,0,0,11666
2020-02-28,0,0,951
2020-02-28,0,0,7205
2020-02-29,0,0,1180
2020-03-01,0,0,7507
2020-03-01,0,0,5492
2020-03-01,0,0,4906
2020-03-01,1,0,8056
2020-03-01,0,1,8792
2020-03-01,0,0,10765
2020-03-01,0,0,4865
2020-03-02,0,0,6741
2020-03-02,0,0,5608
2020-03-02,0,0,11799
2020-03-02,0,0,5735
2020-03-02,0,0,6336
2020-03-02,0,0,6514
2020-03-02,0,2,13668
2020-03-02,0,0,1124
2020-03-03,0,0,18759
2020-03-03,0,0,6190
2020-03-03,0,0,7805
2020-03-03,0,0,3882
2020-03-03,0,0,891
2020-03-03,0,0,744
2020-03-03,0,0,5622
2020-03-03,0,0,5683
2020-03-04,0,0,770
2020-03-04,0,0,7448
2020-03-04,0,0,838
2020-03-04,0,0,7118
2020-03-04,0,0,4315
2020-03-05,0,0,25841
2020-03-05,0,0,848
2020-03-05,0,0,8629
2020-03-05,0,0,5578
2020-03-05,0,0,8137
2020-03-05,0,0,5345
2020-03-05,0,0,5127
2020-03-05,0,0,3939
2020-03-05,0,0,6870
2020-03-05,0,0,5459
2020-03-05,0,0,803
2020-03-05,0,0,37728
2020-03-06,0,0,3987
2020-03-06,0,0,20354
2020-03-06,0,1,4354
2020-03-06,0,0,804
2020-03-06,1,0,9556
2020-03-06,0,0,912
2020-03-06,0,0,5149
2020-03-06,0,0,5016
2020-03-07,0,0,5365
2020-03-07,0,0,1140
2020-03-07,0,0,3901
2020-03-07,0,0,6863
2020-03-07,0,0,4618
2020-03-08,0,0,6302
2020-03-08,0,0,5313
2020-03-08,1,2,8370
2020-03-08,0,0,3761
2020-03-08,1,1,10055
2020-03-08,1,1,13075
2020-03-08,0,0,5551
2020-03-08,0,1,4312
2020-03-09,0,0,960
2020-03-09,0,0,7662
2020-03-09,0,0,6555
2020-03-09,0,0,6472
2020-03-09,0,0,4277
2020-03-10,0,0,773
2020-03-10,0,0,942
2020-03-10,0,0,12324
2020-03-10,1,1,11106
2020-03-10,0,0,6765
2020-03-10,0,0,15814
2020-03-10,-1,1,9155
2020-03-10,1,0,17844
2020-03-10,0,0,3555
2020-03-10,0,0,9561
2020-03-10,0,0,5493
2020-03-10,0,0,3917
2020-03-11,0,0,3006
2020-03-11,1,0,6371
2020-03-11,0,0,719
2020-03-11,0,0,931
2020-03-11,1,0,7953
2020-03-11,0,0,5111
2020-03-11,0,0,5894
2020-03-12,0,0,6727
2020-03-12,0,0,696
2020-03-12,0,0,4901
2020-03-12,0,0,709
2020-03-12,0,0,3015
2020-03-13,1,2,8457
2020-03-13,0,0,3317
2020-03-13,0,0,892
2020-03-13,0,0,11405
2020-03-13,0,0,759
2020-03-13,1,0,2091
2020-03-13,0,0,3745
2020-03-13,0,0,5113
2020-03-13,0,0,37630
2020-03-14,0,0,5593
2020-03-14,0,0,946
2020-03-14,0,0,3194
2020-03-14,0,0,4658
2020-03-14,1,0,11699
2020-03-14,0,0,7388
2020-03-15,1,0,15561
2020-03-15,1,0,145000
2020-03-15,0,0,7094
2020-03-15,1,0,5260
2020-03-15,1,0,10009
2020-03-15,1,0,9170
2020-03-15,0,0,5969
2020-03-15,1,0,4864
2020-03-15,1,0,10925
2020-03-15,0,0,4755
2020-03-15,0,0,4552
2020-03-15,0,0,20723
2020-03-16,0,0,6329
2020-03-16,0,0,6075
2020-03-16,0,0,585
2020-03-16,0,0,7160
2020-03-16,1,0,6485
2020-03-16,0,0,8317
2020-03-16,0,0,4757
2020-03-16,0,0,27577
2020-03-17,0,0,4039
2020-03-17,0,0,794
2020-03-17,0,0,6899
2020-03-17,0,0,6201
2020-03-17,0,0,810
2020-03-17,0,0,5221
2020-03-17,0,0,8208
2020-03-17,1,0,8840
2020-03-18,0,0,5053
2020-03-18,0,0,3275
2020-03-18,0,0,1112
2020-03-18,0,0,679
2020-03-18,0,0,3657
2020-03-18,0,0,6970
2020-03-19,0,0,3728
2020-03-19,1,0,17070
2020-03-19,0,0,836
2020-03-19,2,1,45507
2020-03-19,2,1,12471
2020-03-19,0,0,865
2020-03-19,0,0,4986
2020-03-19,0,0,5112
2020-03-19,0,0,12111
2020-03-20,0,0,6421
2020-03-20,0,0,4026
2020-03-20,1,0,33919
2020-03-20,0,0,4024
2020-03-20,0,1,5929
2020-03-20,0,0,991
2020-03-20,0,0,3093
2020-03-20,0,0,17352
2020-03-21,0,0,6830
2020-03-21,0,0,14453
2020-03-21,0,0,5014
2020-03-21,0,0,3883
2020-03-21,0,1,24860
2020-03-21,0,0,5828
2020-03-21,0,0,1503
2020-03-22,0,0,7546
2020-03-22,0,0,5834
2020-03-22,0,0,6032
2020-03-22,0,0,5449
2020-03-23,0,0,5519
2020-03-23,0,0,741
2020-03-23,0,0,7009
2020-03-23,0,0,6745
2020-03-23,1,0,4764
2020-03-23,1,0,5098
2020-03-23,1,0,5526
2020-03-23,0,0,6057
2020-03-24,1,0,4851
2020-03-24,0,0,2194
2020-03-24,0,0,3915
2020-03-24,2,0,6766
2020-03-24,0,0,8923
2020-03-24,0,0,19003
2020-03-24,0,0,648
2020-03-24,0,0,3018
2020-03-24,0,0,5403
2020-03-24,0,0,5729
2020-03-24,0,0,4740
