date,pos,neg,read
2020-01-01,0.0,0.0,3272
2020-01-01,0.0,0.0,769
2020-01-01,0.0,0.0,602
2020-01-01,2.0,0.0,88967
2020-01-01,0.0,0.0,3951
2020-01-02,0.0,0.0,2558
2020-01-02,0.0,0.0,2293
2020-01-02,0.0,0.0,6978
2020-01-02,0.0,0.0,6183
2020-01-02,1.0,1.0,5388
2020-01-02,0.0,0.0,2414
2020-01-03,0.0,0.0,596
2020-01-03,0.0,0.0,734
2020-01-03,1.0,0.0,9804
2020-01-03,0.0,0.0,4859
2020-01-03,0.0,0.0,7224
2020-01-03,1.0,0.0,15903
2020-01-03,0.0,0.0,4195
2020-01-03,0.0,1.0,1838
2020-01-03,0.0,1.0,1874
2020-01-03,0.0,0.0,6850
2020-01-03,0.0,0.0,6767
2020-01-03,0.0,0.0,6177
2020-01-04,0.0,1.0,15671
2020-01-04,0.0,1.0,25537
2020-01-04,1.0,0.0,22243
2020-01-04,0.0,0.0,7650
2020-01-04,0.0,1.0,2745
2020-01-04,0.0,1.0,2559
2020-01-04,0.0,0.0,6346
2020-01-04,0.0,1.0,13250
2020-01-04,0.0,0.0,4361
2020-01-04,0.0,0.0,782
2020-01-05,0.0,0.0,5251
2020-01-05,0.0,0.0,7756
2020-01-05,0.0,0.0,26333
2020-01-05,0.0,0.0,7793
2020-01-05,0.0,0.0,5111
2020-01-06,0.0,0.0,745
2020-01-06,0.0,0.0,2818
2020-01-06,0.0,0.0,9093
2020-01-06,1.0,0.0,24324
2020-01-06,0.0,0.0,8131
2020-01-06,0.0,0.0,4686
2020-01-07,0.0,0.0,27183
2020-01-07,0.0,0.0,5094
2020-01-07,1.0,0.0,4766
2020-01-07,0.0,0.0,709
2020-01-07,0.0,0.0,719
2020-01-07,0.0,0.0,9576
2020-01-07,0.0,0.0,2643
2020-01-08,0.0,0.0,4691
2020-01-08,0.0,0.0,3289
2020-01-08,1.0,0.0,21092
2020-01-08,0.0,0.0,5337
2020-01-08,0.0,0.0,758
2020-01-08,0.0,0.0,642
2020-01-09,0.0,0.0,3067
2020-01-09,0.0,1.0,6014
2020-01-09,0.0,0.0,8725
2020-01-09,0.0,0.0,20791
2020-01-09,0.0,0.0,6622
2020-01-09,0.0,0.0,641
2020-01-09,0.0,0.0,790
2020-01-09,0.0,0.0,5001
2020-01-10,0.0,0.0,4985
2020-01-10,0.0,0.0,2992
2020-01-10,0.0,0.0,673
2020-01-10,0.0,0.0,722
2020-01-10,0.0,0.0,6307
2020-01-10,1.0,1.0,3872
2020-01-10,0.0,0.0,8324
2020-01-11,0.0,0.0,4901
2020-01-11,0.0,0.0,765
2020-01-11,0.0,0.0,7193
2020-01-11,0.0,0.0,8078
2020-01-11,0.0,0.0,7999
2020-01-11,0.0,0.0,5604
2020-01-11,2.0,0.0,15883
2020-01-11,0.0,0.0,4793
2020-01-11,0.0,0.0,7608
2020-01-12,0.0,0.0,5203
2020-01-12,0.0,0.0,9677
2020-01-12,0.0,0.0,5420
2020-01-12,0.0,0.0,7940
2020-01-12,0.0,0.0,8795
2020-01-13,0.0,0.0,2997
2020-01-13,0.0,0.0,6018
2020-01-13,0.0,0.0,899
2020-01-13,0.0,0.0,52038
2020-01-13,0.0,0.0,7927
2020-01-13,0.0,0.0,5751
2020-01-14,0.0,0.0,3505
2020-01-14,0.0,0.0,670
2020-01-14,1.0,0.0,6222
2020-01-14,1.0,0.0,20499
2020-01-14,0.0,0.0,6460
2020-01-14,0.0,1.0,3483
2020-01-14,0.0,0.0,697
2020-01-14,0.0,0.0,7580
2020-01-15,3.0,0.0,5646
2020-01-15,0.0,0.0,15047
2020-01-15,1.0,0.0,4017
2020-01-15,0.0,0.0,4919
2020-01-15,0.0,0.0,4715
2020-01-15,0.0,0.0,864
2020-01-15,0.0,0.0,808
2020-01-15,0.0,0.0,6004
2020-01-15,0.0,0.0,3205
2020-01-16,0.0,0.0,2947
2020-01-16,0.0,1.0,38280
2020-01-16,0.0,0.0,5612
2020-01-16,0.0,0.0,16056
2020-01-16,0.0,0.0,9247
2020-01-16,0.0,0.0,4024
2020-01-16,0.0,0.0,6607
2020-01-16,0.0,0.0,644
2020-01-16,0.0,5.0,1931
2020-01-16,0.0,0.0,3419
2020-01-16,0.0,0.0,2430
2020-01-16,0.0,0.0,6552
2020-01-16,0.0,0.0,1929
2020-01-16,0.0,0.0,4381
2020-01-16,0.0,0.0,699
2020-01-17,0.0,0.0,8286
2020-01-17,0.0,0.0,2443
2020-01-17,0.0,0.0,1902
2020-01-17,0.0,0.0,1672
2020-01-17,0.0,0.0,6127
2020-01-17,1.0,0.0,2454
2020-01-17,1.0,0.0,1669
2020-01-17,0.0,0.0,2746
2020-01-17,1.0,0.0,2567
2020-01-17,1.0,0.0,3138
2020-01-17,0.0,0.0,10485
2020-01-17,1.0,0.0,1435
2020-01-17,0.0,0.0,1911
2020-01-17,0.0,0.0,5297
2020-01-17,0.0,0.0,12400
2020-01-17,0.0,0.0,5318
2020-01-17,0.0,0.0,3425
2020-01-17,0.0,0.0,493
2020-01-17,0.0,0.0,645
2020-01-17,0.0,0.0,2863
2020-01-17,0.0,0.0,4516
2020-01-17,0.0,0.0,4236
2020-01-18,0.0,0.0,8465
2020-01-18,0.0,0.0,6211
2020-01-18,0.0,0.0,774
2020-01-18,0.0,0.0,6318
2020-01-18,0.0,0.0,1936
2020-01-18,0.0,0.0,10833
2020-01-18,0.0,0.0,4434
2020-01-18,0.0,0.0,3905
2020-01-19,0.0,0.0,4771
2020-01-19,0.0,0.0,2342
2020-01-19,0.0,0.0,10502
2020-01-19,0.0,0.0,10956
2020-01-19,0.0,0.0,3050
2020-01-19,0.0,0.0,8893
2020-01-19,0.0,0.0,3327
2020-01-19,0.0,0.0,6214
2020-01-19,0.0,0.0,8818
2020-01-19,0.0,0.0,4251
2020-01-19,0.0,0.0,3148
2020-01-20,0.0,0.0,794
2020-01-20,0.0,0.0,10286
