date,pos,neg,read
2020-05-23,1.0,1.0,3300
2020-06-03,0.0,3.0,3210
2020-06-07,2.0,0.0,1737
2020-06-09,0.0,0.0,1317
2020-06-10,0.0,1.0,6025
2020-06-15,0.0,1.0,2465
2020-06-19,1.5,1.0,1234
2020-06-19,0.0,1.0,1475
2020-06-19,1.0,0.0,3205
2020-06-20,0.0,0.0,4522
2020-06-20,0.0,0.0,6266
2020-06-21,0.0,1.0,1169
2020-06-21,1.0,1.0,1867
2020-06-21,0.0,0.0,1465
2020-06-22,1.0,3.0,1707
2020-06-23,0.0,2.0,2500
2020-06-23,0.0,0.0,1785
2020-06-23,0.0,1.0,1244
2020-06-23,0.0,0.0,5604
2020-06-24,0.0,0.0,3957
2020-06-24,0.0,0.0,11259
2020-06-25,0.0,0.0,3139
2020-06-25,0.0,1.0,1540
2020-06-25,0.0,0.0,1625
2020-06-25,0.0,0.0,2060
2020-06-27,0.0,0.0,2663
2020-06-27,1.0,2.0,2848
2020-06-27,0.0,1.0,1226
2020-06-29,7.0,1.0,4554
2020-06-29,0.0,0.0,2211
2020-06-29,2.0,2.0,1528
2020-06-29,0.0,-1.0,4202
2020-06-29,0.0,0.0,1654
2020-06-30,1.0,0.0,1449
2020-06-30,0.0,2.0,2792
2020-06-30,0.0,0.0,3984
2020-06-30,1.0,1.0,1205
2020-07-02,0.0,2.0,2779
2020-07-02,0.0,0.0,5389
2020-07-02,1.0,1.0,4867
2020-07-02,1.0,2.0,3708
2020-07-02,1.0,0.0,3699
2020-07-02,2.0,0.0,4019
2020-07-02,0.0,2.0,4320
2020-07-03,0.0,2.0,3783
2020-07-03,0.0,1.0,1600
2020-07-03,3.0,0.0,4018
2020-07-03,0.0,2.0,3770
2020-07-04,0.0,1.0,2619
2020-07-06,0.0,0.0,8018
2020-07-06,0.0,2.0,3313
2020-07-08,0.0,0.0,2209
2020-07-09,0.0,0.0,4695
2020-07-11,2.0,0.0,1876
2020-07-11,0.0,0.0,5420
2020-07-13,0.0,0.0,3069
2020-07-17,0.0,1.0,6589
2020-07-20,-1.0,0.0,4051
2020-07-21,6.0,1.0,5789
2020-07-22,0.0,1.0,2276
2020-07-24,0.0,-4.0,1598
2020-07-26,0.0,2.0,8053
2020-08-02,2.0,0.0,2655
2020-08-02,0.0,1.0,5419
2020-08-05,0.0,1.0,1576
2020-08-05,0.0,0.0,1917
2020-08-05,1.0,1.0,3156
2020-08-05,2.0,0.0,5207
2020-08-12,0.0,1.0,8744
2020-08-13,0.0,0.0,12098
2020-08-14,1.0,2.0,1192
2020-08-14,0.0,1.0,3212
2020-08-15,1.0,1.0,4208
2020-08-16,1.0,2.0,8154
2020-08-16,0.0,37.0,9401
2020-08-17,0.0,1.0,2070
2020-08-17,0.0,4.0,2234
2020-08-18,0.0,2.0,6023
2020-08-19,0.0,1.0,3445
2020-08-24,1.0,0.0,6933
2020-08-25,3.0,2.0,1234
2020-08-28,0.0,2.0,3576
2020-08-28,0.0,0.0,2401
2020-09-02,0.0,1.0,3294
2020-09-05,0.0,2.0,8302
2020-09-08,0.0,0.0,6186
2020-09-09,1.0,1.0,2991
2020-09-14,1.0,0.0,4848
2020-09-17,1.0,1.0,4715
2020-09-18,0.0,2.0,3771
2020-09-19,1.0,1.0,4947
2020-09-22,0.0,0.0,7822
2020-09-23,2.0,0.0,9492
2020-09-24,0.0,5.0,2402
2020-09-27,1.0,0.0,14980
2020-09-30,0.0,0.0,7197
2020-10-03,3.0,0.0,6762
2020-10-09,0.0,1.0,5019
2020-10-13,0.0,0.0,1799
2020-10-14,1.0,0.0,5642
2020-10-14,1.0,1.0,4046
2020-10-14,0.0,0.0,2493
2020-10-15,3.0,2.0,5240
2020-10-15,1.0,1.0,6856
2020-10-15,0.0,0.0,7502
2020-10-15,1.0,-1.0,3298
2020-10-17,1.0,1.0,1634
2020-10-19,1.0,2.0,2894
2020-10-20,3.0,0.0,6771
2020-10-20,0.0,0.0,6307
2020-10-24,0.0,0.0,10030
2020-10-26,2.0,0.0,2057
2020-10-31,0.0,3.0,4486
2020-11-04,0.0,0.0,52416
2020-11-04,0.0,0.0,5673
2020-11-07,2.0,0.0,3540
2020-11-11,0.0,2.0,12028
2020-11-12,0.0,8.0,4387
2020-11-12,0.0,7.0,2143
2020-11-12,0.0,0.0,12611
2020-11-13,0.0,0.0,4954
2020-11-13,0.0,5.0,5578
2020-11-13,0.0,1.0,7750
2020-11-17,0.0,8.0,4042
2020-11-17,1.0,0.0,4380
2020-11-19,1.0,0.0,7004
2020-11-24,0.0,2.0,2660
2020-11-26,1.0,1.0,7328
2020-11-30,1.0,0.0,2167
2020-11-30,0.0,1.0,6102
2020-11-30,0.0,1.0,16359
2020-11-30,1.0,3.0,2449
2020-11-30,0.0,1.0,3375
2020-11-30,0.0,0.0,18073
2020-12-01,0.0,0.0,2147
2020-12-11,1.0,2.0,9553
2020-12-11,0.0,0.0,3367
2020-12-12,0.0,1.0,4983
2020-12-12,2.0,1.0,12615
2020-12-12,0.0,0.0,7870
2020-12-13,0.0,2.0,4934
2020-12-15,1.0,0.0,11520
2020-12-15,1.0,1.0,3554
2020-12-17,1.0,0.0,6007
2020-12-17,0.0,0.0,5666
2020-12-17,1.0,0.0,2075
2020-12-17,0.0,0.0,6629
2020-12-17,0.0,1.0,5876
2020-12-18,-1.0,0.0,9917
2020-12-18,0.0,1.0,15580
2020-12-18,0.0,0.0,4831
2020-12-18,1.0,0.0,8191
2020-12-19,0.0,1.0,6471
2020-12-22,0.0,0.0,11315
2020-12-22,0.0,3.0,5802
2020-12-22,0.0,2.0,5726
2020-12-25,1.0,0.0,2735
2020-12-26,0.0,0.0,15571
2020-12-26,1.0,2.0,10017
2020-12-26,0.0,0.0,8365
2020-12-29,0.0,1.0,14414
2020-12-30,0.0,2.0,6237
2020-12-30,9.0,0.0,17883
2020-12-31,0.0,0.0,5055
2021-01-10,1.0,1.0,3872
2021-01-14,0.0,1.0,3483
2021-01-15,3.0,0.0,5646
2021-01-15,0.0,0.0,4919
2021-01-15,1.0,0.0,4017
2021-01-16,0.0,5.0,1931
2021-01-20,0.0,0.0,1100
2021-01-21,2.0,1.0,9106
