date,pos,neg,read
2020-01-01,2.0,0.0,6706
2020-01-01,1.0,1.0,4085
2020-01-02,0.0,0.0,28709
2020-01-02,0.0,0.0,8272
2020-01-02,0.0,1.0,1808
2020-01-02,0.0,0.0,603
2020-01-02,0.0,0.0,707
2020-01-02,1.0,0.0,6765
2020-01-03,0.0,0.0,34498
2020-01-03,0.0,0.0,14274
2020-01-03,0.0,1.0,16549
2020-01-03,0.0,0.0,6670
2020-01-03,1.0,0.0,22309
2020-01-03,0.0,0.0,6261
2020-01-03,0.0,0.0,1315
2020-01-03,0.0,1.0,17490
2020-01-03,0.0,1.0,9467
2020-01-03,0.0,1.0,1701
2020-01-03,0.0,1.0,1565
2020-01-03,0.0,0.0,67796
2020-01-03,0.0,0.0,3987
2020-01-03,0.0,0.0,8027
2020-01-03,0.0,0.0,4808
2020-01-03,2.0,0.0,5711
2020-01-03,0.0,1.0,1776
2020-01-03,1.0,1.0,7436
2020-01-03,0.0,1.0,7755
2020-01-03,0.0,0.0,804
2020-01-03,1.0,0.0,11670
2020-01-04,2.0,0.0,6384
2020-01-04,2.0,6.0,5735
2020-01-04,0.0,1.0,42647
2020-01-04,0.0,1.0,28086
2020-01-04,0.0,2.0,19053
2020-01-05,8.0,0.0,1920
2020-01-05,1.0,0.0,7564
2020-01-05,1.0,0.0,3193
2020-01-06,1.0,1.0,4923
2020-01-06,0.0,4.0,7163
2020-01-06,2.0,1.0,3871
2020-01-06,0.0,1.0,2695
2020-01-06,1.0,3.0,5843
2020-01-06,0.0,0.0,1040
2020-01-06,0.0,0.0,1997
2020-01-06,0.0,0.0,4381
2020-01-07,0.0,0.0,872
2020-01-07,0.0,0.0,1606
2020-01-07,2.0,0.0,15512
2020-01-07,2.0,2.0,5425
2020-01-07,2.0,0.0,3816
2020-01-07,1.0,0.0,4985
2020-01-07,1.0,1.0,7753
2020-01-08,0.0,0.0,940
2020-01-08,0.0,2.0,3450
2020-01-08,0.0,4.0,8185
2020-01-08,1.0,0.0,7362
2020-01-08,0.0,0.0,30513
2020-01-08,1.0,0.0,4483
2020-01-08,1.0,0.0,6103
2020-01-08,0.0,0.0,848
2020-01-09,0.0,0.0,1038
2020-01-09,0.0,0.0,1286
2020-01-09,0.0,0.0,6379
2020-01-10,0.0,0.0,1024
2020-01-10,0.0,0.0,803
2020-01-10,1.0,0.0,5643
2020-01-10,2.0,0.0,19360
2020-01-10,2.0,0.0,480
2020-01-10,1.0,1.0,514
2020-01-10,0.0,1.0,3416
2020-01-10,1.0,3.0,6070
2020-01-10,0.0,0.0,2736
2020-01-10,0.0,1.0,5818
2020-01-11,0.0,0.0,10205
2020-01-11,1.0,0.0,6042
2020-01-11,0.0,-1.0,3936
2020-01-11,0.0,1.0,7308
2020-01-11,4.0,1.0,1591
2020-01-11,1.0,0.0,2355
2020-01-12,1.0,0.0,1812
2020-01-12,1.0,1.0,6718
2020-01-12,0.0,1.0,4685
2020-01-12,0.0,0.0,49312
2020-01-12,0.0,1.0,40210
2020-01-12,5.0,0.0,65993
2020-01-13,0.0,0.0,2225
2020-01-13,0.0,0.0,896
2020-01-13,0.0,0.0,955
2020-01-13,1.0,1.0,10636
2020-01-13,8.0,3.0,8384
2020-01-13,1.0,1.0,7157
2020-01-13,1.0,0.0,2066
2020-01-13,0.0,0.0,4365
2020-01-13,3.0,0.0,14151
2020-01-13,2.0,0.0,80630
2020-01-14,0.0,0.0,17830
2020-01-14,0.0,0.0,929
2020-01-14,0.0,0.0,15257
2020-01-14,0.0,0.0,817
2020-01-14,2.0,0.0,3460
2020-01-14,1.0,0.0,4795
2020-01-15,0.0,1.0,5130
2020-01-15,0.0,0.0,760
2020-01-15,0.0,0.0,1146
2020-01-15,0.0,0.0,103000
2020-01-15,1.0,1.0,16303
2020-01-15,1.0,0.0,11031
2020-01-15,0.0,0.0,18237
2020-01-16,0.0,0.0,11598
2020-01-16,0.0,1.0,4644
2020-01-16,0.0,1.0,2350
2020-01-16,0.0,1.0,2355
2020-01-16,0.0,2.0,2636
2020-01-16,0.0,0.0,25843
2020-01-16,1.0,0.0,34167
2020-01-16,1.0,1.0,28719
2020-01-16,0.0,0.0,6468
2020-01-16,0.0,1.0,1980
2020-01-16,0.0,1.0,4619
