date,pos,neg,read
2020-05-25,1.0,0.0,2960
2020-05-27,0.0,64.0,1751
2020-05-31,1.0,1.0,6074
2020-06-03,0.0,5.0,3233
2020-06-04,0.0,0.0,1822
2020-06-06,6.0,8.0,1433
2020-06-07,3.0,5.0,2916
2020-06-08,0.0,0.0,1893
2020-06-08,1.0,0.0,2688
2020-06-09,2.0,0.0,2269
2020-06-11,0.0,0.0,1846
2020-06-13,-1.0,2.0,2362
2020-06-13,0.0,0.0,3744
2020-06-13,1.0,0.0,1774
2020-06-14,0.0,0.0,2627
2020-06-15,0.0,0.0,2303
2020-06-15,0.0,0.0,2659
2020-06-15,0.0,0.0,2293
2020-06-17,0.0,3.0,3989
2020-06-17,1.0,0.0,5376
2020-06-17,0.0,9.0,2734
2020-06-17,0.0,0.0,4167
2020-06-18,1.0,0.0,2602
2020-06-18,0.0,3.0,2583
2020-06-19,0.0,3.0,1784
2020-06-19,3.0,0.0,4217
2020-06-20,2.0,0.0,5731
2020-06-21,0.0,0.0,1930
2020-06-22,0.0,0.0,4210
2020-06-23,0.0,1.0,1547
2020-06-23,0.0,3.0,1555
2020-06-23,0.0,1.0,2665
2020-06-25,0.0,0.0,6058
2020-06-26,1.0,0.0,3407
2020-06-26,3.0,0.0,2257
2020-06-27,0.0,0.0,4914
2020-06-27,1.0,1.0,2334
2020-06-29,1.0,72.0,5794
2020-06-29,1.0,2.0,2692
2020-06-30,1.0,0.0,2571
2020-06-30,0.0,0.0,4277
2020-06-30,0.0,0.0,4775
2020-06-30,3.0,0.0,5085
2020-06-30,0.0,0.0,3858
2020-07-01,0.0,0.0,1890
2020-07-01,2.0,1.0,4449
2020-07-02,1.0,2.0,1936
2020-07-02,0.0,0.0,3502
2020-07-03,2.0,0.0,1693
2020-07-05,0.0,0.0,4562
2020-07-05,0.0,0.0,22907
2020-07-06,0.0,0.0,7650
2020-07-07,0.0,0.0,4812
2020-07-08,0.0,0.0,1286
2020-07-08,9.0,0.0,3325
2020-07-09,0.0,0.0,1791
2020-07-09,-1.0,0.0,3158
2020-07-09,0.0,2.0,2066
2020-07-10,5.0,0.0,2788
2020-07-12,9.0,1.0,3934
2020-07-12,0.0,1.0,2601
2020-07-13,4.0,1.0,4930
2020-07-13,1.0,6.0,2779
2020-07-13,4.0,0.0,5354
2020-07-13,0.0,0.0,8045
2020-07-14,0.0,2.0,4172
2020-07-14,0.0,2.0,1217
2020-07-14,1.0,0.0,3048
2020-07-15,0.0,0.0,4860
2020-07-15,0.0,0.0,18659
2020-07-15,0.0,0.0,1448
2020-07-16,0.0,3.0,6603
2020-07-17,0.0,1.0,4635
2020-07-18,1.0,0.0,4413
2020-07-22,0.0,1.0,2361
2020-07-23,0.0,0.0,2545
2020-07-23,0.0,0.0,4212
2020-07-23,0.0,0.0,3426
2020-07-23,0.0,0.0,4628
2020-07-23,0.0,0.0,2890
2020-07-23,0.0,0.0,3252
2020-07-24,0.0,0.0,3113
2020-07-24,6.0,0.0,2842
2020-07-24,0.0,0.0,1789
2020-07-24,0.0,1.0,2805
2020-07-24,6.0,0.0,4207
2020-07-25,0.0,1.0,2322
2020-07-26,1.0,1.0,2282
2020-07-26,2.0,1.0,4435
2020-07-27,8.0,1.0,4586
2020-07-27,0.0,3.0,2656
2020-07-27,0.0,0.0,24632
2020-07-28,1.0,0.0,5783
2020-07-28,0.0,0.0,3190
2020-07-28,2.0,0.0,5747
2020-07-29,1.0,0.0,4295
2020-07-29,0.0,0.0,3268
2020-07-29,0.0,0.0,16514
2020-07-30,0.0,-1.0,2913
2020-07-30,0.0,0.0,2408
2020-07-31,0.0,1.0,5313
2020-07-31,0.0,0.0,1437
2020-07-31,0.0,1.0,3497
2020-07-31,0.0,1.0,5055
2020-07-31,2.0,0.0,1669
2020-07-31,0.0,1.0,2084
2020-07-31,0.0,0.0,5308
2020-08-01,0.0,0.0,4114
2020-08-01,2.0,0.0,3472
2020-08-02,3.0,0.0,2132
2020-08-02,0.0,0.0,4214
2020-08-02,0.0,0.0,2527
2020-08-03,6.0,1.0,5621
2020-08-03,1.0,0.0,8534
2020-08-03,1.0,0.0,6428
2020-08-04,0.0,3.0,6460
2020-08-04,0.0,0.0,1448
2020-08-05,0.0,0.0,5495
2020-08-05,0.0,0.0,2603
2020-08-06,2.0,0.0,10259
2020-08-06,0.0,0.0,2495
2020-08-06,0.0,2.0,3630
2020-08-06,2.0,0.0,2518
2020-08-07,1.0,1.0,3561
2020-08-07,1.0,0.0,7181
2020-08-08,1.0,0.0,5694
2020-08-08,0.0,0.0,4963
2020-08-08,0.0,0.0,1628
2020-08-09,0.0,0.0,5451
2020-08-10,0.0,1.0,3855
2020-08-10,5.0,0.0,5657
2020-08-10,3.0,4.0,3945
2020-08-11,1.0,0.0,30177
2020-08-11,1.0,0.0,8717
2020-08-11,1.0,1.0,3258
2020-08-12,0.0,0.0,7058
2020-08-12,1.0,0.0,16571
2020-08-12,0.0,0.0,3647
2020-08-13,0.0,0.0,6720
2020-08-13,3.0,1.0,22752
2020-08-13,0.0,0.0,3848
2020-08-13,0.0,0.0,3598
2020-08-13,0.0,0.0,4752
2020-08-14,0.0,0.0,1744
2020-08-14,0.0,0.0,3193
2020-08-14,0.0,0.0,1550
2020-08-15,0.0,8.0,4718
2020-08-15,1.0,0.0,2417
2020-08-15,1.0,0.0,1350
2020-08-16,1.0,1.0,4205
2020-08-16,0.0,0.0,6088
2020-08-17,3.0,0.0,4862
2020-08-17,1.0,0.0,12127
2020-08-17,0.0,0.0,2488
2020-08-17,0.0,0.0,2277
2020-08-17,0.0,1.0,4573
2020-08-18,1.0,0.0,3259
2020-08-19,0.0,0.0,4242
2020-08-19,0.0,0.0,15970
2020-08-20,0.0,0.0,2180
2020-08-20,5.0,0.0,4081
2020-08-20,10.0,0.0,4499
2020-08-20,0.0,0.0,2674
2020-08-20,0.0,1.0,6140
2020-08-20,1.0,1.0,2805
2020-08-20,4.0,0.0,4357
2020-08-20,0.0,0.0,5547
2020-08-21,0.0,0.0,6248
2020-08-21,0.0,0.0,4163
2020-08-21,0.0,0.0,3989
2020-08-21,1.0,5.0,4557
2020-08-21,0.0,0.0,2854
2020-08-22,1.0,0.0,2656
2020-08-23,2.0,0.0,3922
2020-08-24,0.0,0.0,3662
2020-08-24,0.0,1.0,2583
2020-08-24,6.0,0.0,5832
2020-08-24,3.0,4.0,4443
2020-08-24,1.0,0.0,2474
2020-08-25,0.0,0.0,18736
2020-08-26,0.0,48.0,4774
2020-08-26,1.0,0.0,3415
2020-08-27,6.0,0.0,16628
2020-08-27,1.0,0.0,4334
2020-08-28,0.0,2.0,2020
2020-08-28,1.0,2.0,2689
2020-08-28,0.0,5.0,2671
2020-08-31,0.0,0.0,9953
2020-09-01,0.0,0.0,3770
2020-09-02,8.0,3.0,4739
2020-09-02,1.0,0.0,4016
2020-09-04,0.0,0.0,16758
2020-09-07,3.0,0.0,4274
2020-09-08,0.0,0.0,2523
2020-09-09,0.0,0.0,2769
2020-09-12,2.0,0.0,6354
2020-09-15,0.0,0.0,3162
2020-09-15,0.0,0.0,2435
2020-09-15,0.0,5.0,4858
2020-09-15,0.0,0.0,5772
2020-09-21,0.0,1.0,4752
2020-09-22,1.0,3.0,5261
2020-09-23,0.0,0.0,4423
2020-09-23,1.0,0.0,44257
2020-09-24,0.0,1.0,6554
2020-09-25,0.0,0.0,3909
2020-09-25,1.0,0.0,7366
2020-09-26,1.0,1.0,4488
2020-09-26,0.0,1.0,4269
2020-09-28,0.0,16.0,2244
2020-09-28,1.0,0.0,11807
2020-09-28,0.0,2.0,6843
2020-09-28,1.0,0.0,7711
2020-09-29,1.0,2.0,5312
2020-10-01,2.0,0.0,7345
2020-10-02,1.0,0.0,7260
2020-10-06,1.0,1.0,5994
2020-10-06,0.0,0.0,3321
2020-10-06,5.0,1.0,5837
2020-10-09,1.0,1.0,4428
2020-10-09,0.0,0.0,8652
2020-10-09,0.0,0.0,11305
2020-10-10,3.0,1.0,6309
2020-10-11,1.0,0.0,6883
2020-10-13,0.0,0.0,16177
2020-10-15,0.0,0.0,5115
2020-10-16,3.0,0.0,2392
2020-10-18,0.0,1.0,1919
2020-10-20,0.0,1.0,3999
2020-10-21,0.0,0.0,5686
2020-10-23,0.0,1.0,8398
2020-10-23,0.0,0.0,5349
2020-10-25,0.0,0.0,25393
2020-10-30,0.0,0.0,2519
2020-10-30,0.0,2.0,3291
2020-11-10,0.0,0.0,10021
2020-11-10,1.0,2.0,4107
2020-11-10,0.0,1.0,4488
2020-11-10,5.0,1.0,7248
2020-11-10,0.0,1.0,7571
2020-11-10,1.0,1.0,7889
2020-11-11,0.0,0.0,3161
2020-11-11,1.0,0.0,18127
2020-11-12,1.0,0.0,2954
2020-11-13,1.0,1.0,1071
2020-11-13,9.0,0.0,4201
2020-11-15,0.0,-1.0,3101
