date,pos,neg,read
2020-01-02,0,0,603
2020-01-02,0,0,28709
2020-01-02,0,0,8272
2020-01-02,0,1,1808
2020-01-02,0,0,707
2020-01-02,1,0,6765
2020-01-03,0,1,16549
2020-01-03,1,0,11670
2020-01-03,0,0,804
2020-01-03,0,0,1315
2020-01-03,0,0,67796
2020-01-03,0,1,1701
2020-01-03,0,1,9467
2020-01-03,1,0,22309
2020-01-03,0,0,6261
2020-01-03,0,0,6670
2020-01-03,0,1,17490
2020-01-03,0,1,1565
2020-01-03,0,1,7755
2020-01-03,0,0,14274
2020-01-03,0,0,34498
2020-01-04,0,1,28086
2020-01-04,0,1,42647
2020-01-06,0,0,1997
2020-01-06,0,0,1040
2020-01-07,1,1,7753
2020-01-07,1,0,4985
2020-01-07,2,0,3816
2020-01-07,0,0,1606
2020-01-07,0,0,872
2020-01-08,1,0,7362
2020-01-08,1,0,4483
2020-01-08,1,0,6103
2020-01-08,0,0,848
2020-01-08,0,0,30513
2020-01-08,0,0,940
2020-01-09,0,0,1038
2020-01-09,0,0,1286
2020-01-10,2,0,480
2020-01-10,2,0,19360
2020-01-10,0,0,803
2020-01-10,0,1,5818
2020-01-10,0,0,1024
2020-01-10,1,1,514
2020-01-11,0,1,7308
2020-01-11,1,0,6042
2020-01-11,0,0,10205
2020-01-12,5,0,65993
2020-01-12,0,1,40210
2020-01-12,0,0,49312
2020-01-13,0,0,955
2020-01-13,2,0,80630
2020-01-13,1,1,10636
2020-01-13,0,0,896
2020-01-14,0,0,817
2020-01-14,0,0,929
2020-01-14,0,0,17830
2020-01-14,1,0,4795
2020-01-15,0,0,760
2020-01-15,0,0,1146
2020-01-15,1,1,16303
2020-01-15,0,0,103000
2020-01-15,1,0,11031
2020-01-15,0,1,5130
2020-01-15,0,0,18237
2020-01-16,1,0,19004
2020-01-16,1,0,7130
2020-01-16,0,1,1980
2020-01-16,0,0,6836
2020-01-16,0,0,787
2020-01-16,0,0,860
2020-01-16,0,0,6468
2020-01-16,0,0,11598
2020-01-16,1,1,28719
2020-01-16,0,1,2350
2020-01-16,1,0,34167
2020-01-16,0,1,2355
2020-01-16,0,0,25843
2020-01-16,0,2,2636
2020-01-16,0,1,4644
2020-01-17,0,1,2485
2020-01-17,0,0,743
2020-01-17,0,0,785
2020-01-17,0,1,80625
2020-01-17,0,0,66046
2020-01-17,1,1,14950
2020-01-17,0,1,3316
2020-01-18,0,1,27895
2020-01-18,0,0,21804
2020-01-18,0,1,4016
2020-01-18,1,0,23539
2020-01-18,1,0,2988
2020-01-18,4,1,26166
2020-01-19,0,1,7563
2020-01-19,1,1,21979
2020-01-19,1,0,18423
2020-01-19,1,0,4640
2020-01-20,0,0,1005
2020-01-20,0,0,960
2020-01-20,1,0,93596
2020-01-20,1,0,28937
2020-01-21,0,0,921
2020-01-21,0,0,770
2020-01-21,1,0,23340
2020-01-21,1,0,7611
2020-01-22,0,0,5502
2020-01-22,1,0,6867
2020-01-22,1,0,13242
2020-01-22,0,0,986
2020-01-22,0,0,913
2020-01-22,0,1,4386
2020-01-22,1,0,25037
2020-01-22,1,0,6271
2020-01-23,1,0,7593
2020-01-23,0,1,42376
2020-01-23,0,-1,20088
2020-01-23,0,0,26228
2020-01-23,0,0,67295
2020-01-23,0,0,759
2020-01-23,0,0,827
2020-01-23,0,0,5330
2020-01-23,1,0,6876
2020-01-23,0,1,9499
2020-01-24,1,0,6156
2020-01-24,1,0,29088
2020-01-25,0,1,6027
2020-01-25,0,0,13494
2020-01-25,0,0,6577
2020-01-25,1,0,24132
2020-01-26,1,0,19576
2020-01-26,0,0,5787
2020-01-26,0,0,37932
2020-01-27,1,0,21657
2020-01-27,1,0,17523
2020-01-27,0,0,5777
2020-01-27,0,0,46053
2020-01-28,1,0,8679
2020-01-28,0,0,6090
2020-01-29,0,0,5251
2020-01-29,0,0,6238
2020-01-29,0,1,3656
2020-01-29,0,0,24634
2020-01-29,0,1,5463
2020-01-30,0,0,5659
2020-01-30,1,0,72506
2020-01-30,0,0,27602
2020-01-30,0,0,30837
2020-01-31,1,0,13426
2020-02-01,0,1,4362
2020-02-01,0,1,3675
2020-02-01,1,0,30174
2020-02-01,0,0,11469
2020-02-02,0,1,5819
2020-02-03,0,0,1433
2020-02-04,0,0,1198
2020-02-04,0,0,1106
2020-02-05,0,0,1281
2020-02-05,0,0,834
2020-02-05,0,1,5549
2020-02-05,0,0,35508
2020-02-06,0,0,853
2020-02-06,0,1,5339
2020-02-06,0,0,2792
2020-02-06,0,0,18566
2020-02-06,0,2,7571
2020-02-06,0,0,826
2020-02-07,0,0,771
2020-02-07,0,0,798
2020-02-08,0,0,130000
2020-02-08,1,0,54403
2020-02-09,0,0,32854
2020-02-10,0,0,932
2020-02-10,0,0,847
2020-02-10,1,0,5190
2020-02-11,0,0,1053
2020-02-11,1,0,62275
2020-02-11,0,0,794
2020-02-12,0,0,767
2020-02-12,0,0,1060
2020-02-12,0,1,12750
2020-02-13,0,0,3335
2020-02-13,0,0,2669
2020-02-13,1,0,13837
2020-02-13,0,0,734
2020-02-13,0,0,876
2020-02-14,0,0,22248
2020-02-14,1,0,13554
2020-02-14,0,0,758
2020-02-14,0,0,11116
2020-02-14,0,0,16720
2020-02-14,0,0,670
