date,pos,neg
2020-05-04,3.0,6.0
2020-05-04,4.0,3.0
2020-05-04,1889.5,41391.0
2020-05-06,12.0,6.0
2020-05-06,19.0,75.0
2020-05-06,3.0,1.0
2020-05-06,-53.0,18.0
2020-05-06,0.0,23.0
2020-05-06,558.0,179.0
2020-05-06,0.0,7.0
2020-05-06,1.0,0.0
2020-05-06,7.0,11.0
2020-05-06,0.0,6.0
2020-05-06,9.0,0.0
2020-05-06,41.0,55.0
2020-05-06,2.0,11.0
2020-05-06,0.0,4.0
2020-05-06,0.0,6.0
2020-05-06,30.0,41.0
2020-05-07,2.0,23.0
2020-05-07,-4.0,2.0
2020-05-07,12.0,9.0
2020-05-07,15.0,6.0
2020-05-07,45.0,508.0
2020-05-07,2.0,0.0
2020-05-07,0.0,6.0
2020-05-07,0.0,1.0
2020-05-07,14.0,-17.0
2020-05-07,0.0,6.0
2020-05-07,45.0,78.0
2020-05-07,4.0,0.0
2020-05-07,1.0,7.0
2020-05-07,401.0,430.0
2020-05-07,0.0,6.0
2020-05-07,14.0,32.0
2020-05-07,98.0,6.0
2020-05-07,1.0,6.0
2020-05-07,4.0,6.0
2020-05-07,0.0,6.0
2020-05-07,3.0,0.0
2020-05-07,11.0,8.0
2020-05-07,-4.0,7.0
2020-05-07,0.0,6.0
2020-05-07,0.0,6.0
2020-05-07,0.0,6.0
2020-05-07,6.0,18.0
2020-05-07,3.0,6.0
2020-05-07,82.0,-127.0
2020-05-07,86.0,12.0
2020-05-07,6.0,7.0
2020-05-08,2.0,8.0
2020-05-08,16.0,18.0
2020-05-08,2.0,3.0
2020-05-08,1432.0,9.0
2020-05-08,46.0,24.0
2020-05-08,22.0,42.0
2020-05-08,10.0,3.0
2020-05-08,2.0,3.0
2020-05-08,1.0,2.0
2020-05-08,0.0,6.0
2020-05-08,2.0,0.0
2020-05-08,7.0,13.0
2020-05-08,0.0,11.0
2020-05-09,10.0,6.0
2020-05-09,7.0,6.0
2020-05-09,111.0,43.0
2020-05-09,84.0,52.0
2020-05-09,65.0,11.0
2020-05-09,32.0,15.0
2020-05-09,22.0,34.0
2020-05-09,15.0,6.0
2020-05-09,95.0,85.0
2020-05-09,9.0,1.0
2020-05-09,52.0,25.0
2020-05-10,26.0,3.0
2020-05-10,3964.0,2.0
2020-05-10,219.0,64.0
2020-05-10,18.0,8.0
2020-05-10,42.0,17.0
2020-05-10,20.0,10.0
2020-05-10,0.0,4.0
2020-05-11,5.0,12.0
2020-05-11,33.0,36.0
2020-05-11,2.0,1.0
2020-05-11,89.0,18.0
2020-05-11,116.0,25.75
2020-05-11,17.0,14.0
2020-05-11,4.0,124.0
2020-05-11,2.0,5.0
2020-05-11,4.0,3.0
2020-05-11,3.0,0.0
2020-05-11,2.0,2.0
2020-05-11,3.0,7.0
2020-05-11,-6.0,3.0
2020-05-11,0.0,1.0
2020-05-11,-13.0,-10.0
2020-05-11,0.0,6.0
2020-05-11,121.0,50.0
2020-05-11,4900.0,33.0
2020-05-11,17.0,4.0
2020-05-11,3.0,16.0
2020-05-11,-1.0,-10.0
2020-05-11,0.0,6.0
2020-05-11,0.0,0.0
2020-05-11,2.0,21.0
2020-05-11,27.0,7.0
2020-05-11,5.0,3.0
2020-05-11,7.0,14.0
2020-05-11,1.0,2.0
2020-05-11,1.0,10.0
2020-05-11,37.0,25.0
2020-05-11,56.0,4.0
2020-05-12,1.0,5.0
2020-05-12,0.0,1.0
2020-05-12,1243149.0,-11773249.0
2020-05-12,151.0,67.0
2020-05-12,1.0,0.0
2020-05-12,5.0,15.0
2020-05-12,0.0,6.0
2020-05-12,14.0,2.0
2020-05-12,-1.0,3.0
2020-05-12,15.0,37.0
2020-05-12,13.0,19.0
2020-05-12,51.0,1.0
2020-05-12,0.0,6.0
2020-05-12,5.0,5.0
2020-05-12,37.0,41.0
2020-05-12,230.0,26366.0
2020-05-12,2.0,11.0
2020-05-12,2.0,10.0
2020-05-12,0.0,18.0
2020-05-12,0.0,6.0
2020-05-12,0.0,6.0
2020-05-12,9.0,13.0
2020-05-12,-10.0,-5.0
2020-05-12,0.0,3.0
2020-05-12,47.0,2347.0
2020-05-13,94.0,75.0
2020-05-13,7.0,2.0
2020-05-13,-114.0,204.0
2020-05-13,17.0,7.0
2020-05-13,11.0,13.0
2020-05-13,2.0,1.0
2020-05-13,18.0,-19.0
2020-05-13,3.5,1.0
2020-05-13,16.0,0.0
2020-05-13,-660.0,469.0
2020-05-13,0.0,6.0
2020-05-13,1.0,6.0
2020-05-13,63.0,29.0
2020-05-13,-11.0,-9.0
2020-05-13,1.0,6.0
2020-05-13,18.0,22.0
2020-05-13,2.0,0.0
2020-05-13,-4.0,-227.0
2020-05-13,0.0,6.0
2020-05-13,6.0,6.0
2020-05-13,172.0,191.0
2020-05-13,25.0,37.0
2020-05-13,4.0,3.0
2020-05-13,8.0,2.0
2020-05-13,-198.0,-19.5
2020-05-13,1.0,1.0
2020-05-13,0.0,6.0
2020-05-13,23.0,16.0
2020-05-13,4.0,19.0
2020-05-13,1244.0,7323.0
2020-05-13,3.0,2.0
2020-05-13,12.0,18.0
2020-05-13,-491.0,-80.0
2020-05-13,48.0,315.0
