,open,close,high,low,volume,money
2020-01-02,87.03,86.37,87.13,85.83,5570437.0,480415279.47
2020-01-03,86.41,86.16,87.13,85.95,3771176.0,326236146.16
2020-01-06,85.55,85.16,86.07,85.1,4734226.0,404671382.58
2020-01-07,85.04,85.64,85.95,85.03,3061176.0,261869237.58
2020-01-08,85.58,84.64,85.58,84.19,3085713.0,261713544.38
2020-01-09,84.63,86.26,86.31,84.63,4458860.0,381943405.01
2020-01-10,86.27,85.84,87.0,85.19,2966065.0,254768165.97
2020-01-13,85.84,85.95,86.03,84.22,3824226.0,325735788.09
2020-01-14,86.07,85.52,86.52,85.46,2440724.0,209372269.79
2020-01-15,85.17,85.32,86.07,84.9,2438756.0,208187017.66
2020-01-16,85.32,85.2,85.68,84.95,2771317.0,236621452.68
2020-01-17,85.2,84.29,85.48,83.89,3484783.0,294681871.26
2020-01-20,84.69,85.25,85.95,83.99,4193300.0,355978461.94
2020-01-21,85.26,87.21,88.97,85.26,9732756.0,848826078.67
2020-01-22,87.59,85.26,87.6,84.45,5116018.0,436517657.76
2020-01-23,85.24,83.74,85.56,82.83,6110683.0,513026232.36
2020-02-03,75.41,76.36,80.74,75.41,7211053.0,561991120.36
2020-02-04,77.13,79.62,79.86,77.13,6652782.0,525093683.47
2020-02-05,79.56,82.78,82.86,79.3,6919674.0,561613623.71
2020-02-06,82.81,83.07,83.6,81.78,7125057.0,590280237.16
2020-02-07,83.07,81.62,83.07,80.42,5204420.0,423895023.87
2020-02-10,81.37,80.69,81.37,79.78,6844272.0,549254049.67
2020-02-11,80.5,80.94,81.23,79.63,7000375.0,562200703.98
2020-02-12,80.89,80.54,80.89,79.59,6741045.0,541058105.13
2020-02-13,80.43,79.62,80.43,79.4,4666591.0,372500020.6
2020-02-14,79.41,79.19,79.99,78.55,6372216.0,505659321.0
2020-02-17,78.81,79.96,79.96,78.7,5860772.0,465948281.88
2020-02-18,80.34,80.05,80.74,79.37,5915509.0,473057345.01
2020-02-19,80.05,79.34,80.24,79.1,3534693.0,281132192.5
2020-02-20,79.3,80.74,81.21,79.04,6396861.0,513162429.89
2020-02-21,80.58,80.45,81.11,79.92,4635402.0,372829310.08
2020-02-24,81.23,80.32,81.23,80.07,5194278.0,417421089.72
2020-02-25,79.76,80.19,81.03,79.3,4876040.0,390339945.3
2020-02-26,79.62,78.42,79.62,78.21,6074554.0,477765692.14
2020-02-27,78.65,78.0,79.26,77.78,4056994.0,317677566.18
2020-02-28,76.43,76.1,77.65,75.04,6240056.0,476351895.0
2020-03-02,76.09,77.56,77.59,75.82,5360724.0,411784600.2
2020-03-03,77.7,77.2,78.52,77.14,7171931.0,556974140.87
2020-03-04,77.3,77.76,77.87,76.32,5382896.0,413774513.27
2020-03-05,77.85,79.3,79.3,77.36,8189064.0,642472665.35
2020-03-06,78.68,78.52,79.99,78.36,4967449.0,392548102.29
2020-03-09,78.33,76.55,78.33,76.3,5060531.0,388511315.95
2020-03-10,76.01,76.79,77.91,75.12,5485820.0,417821667.88
2020-03-11,76.83,76.35,77.17,76.09,3002081.0,229698986.94
