,open,close,high,low,volume,money
2017-01-03,72.58,67.79,72.69,66.34,30582502.0,2113998396.73
2017-01-04,67.65,68.0,68.7,67.2,16737460.0,1138143667.81
2017-01-05,67.96,66.62,68.45,66.44,12537991.0,844693746.9
2017-01-06,66.39,67.09,69.29,65.53,14472393.0,977096097.74
2017-01-09,67.09,69.04,70.48,67.09,16237252.0,1120987017.2
2017-01-10,69.91,68.63,69.91,68.32,5695396.0,392344209.14
2017-01-11,68.47,67.81,70.26,67.72,7423139.0,512809269.39
2017-01-12,67.54,66.87,68.23,66.54,5881227.0,395270012.15
2017-01-13,66.87,65.74,67.13,65.44,7767843.0,512682052.42
2017-01-16,65.59,65.92,67.08,64.92,8326459.0,550093301.91
2017-01-17,65.88,67.08,67.24,65.62,6159743.0,412361974.32
2017-01-18,66.62,67.81,68.71,66.62,5771273.0,393090106.04
2017-01-19,67.98,67.68,68.64,67.55,3118537.0,211757597.5
2017-01-20,67.86,68.59,69.12,67.86,3832004.0,263480619.06
2017-01-23,68.6,67.68,69.18,67.58,4159613.0,284209866.4
2017-01-24,67.72,67.33,68.25,66.9,3613801.0,243737506.04
2017-01-25,67.79,68.13,68.18,67.25,3064336.0,208068571.32
2017-01-26,68.23,69.39,70.16,68.2,5667738.0,393335422.45
2017-02-03,69.47,71.08,72.1,69.41,5562684.0,394992275.31
2017-02-06,71.08,70.57,72.49,70.36,5463658.0,390869582.34
2017-02-07,70.88,70.67,71.08,69.94,2779367.0,195780137.88
2017-02-08,70.62,70.07,70.62,69.43,3832053.0,267388963.26
2017-02-09,69.93,70.12,70.48,69.68,2609388.0,182706542.39
2017-02-10,70.38,69.52,70.45,69.48,3568844.0,249310537.4
2017-02-13,69.44,70.71,70.71,68.78,4220975.0,294876798.76
2017-02-14,70.71,70.79,71.31,70.11,2699716.0,191087765.22
2017-02-15,70.79,69.98,71.02,69.95,2668426.0,188494414.77
2017-02-16,70.07,70.9,70.9,69.73,2673033.0,188803350.96
2017-02-17,70.98,70.85,71.59,69.93,2691044.0,191055495.61
2017-02-20,70.72,71.54,73.06,70.48,7700723.0,555922436.59
2017-02-21,72.06,72.6,73.42,71.97,7803556.0,567309552.46
2017-02-22,72.89,72.73,73.14,71.99,3901331.0,283486918.57
2017-02-23,72.69,72.23,72.71,71.95,3135604.0,226534515.4
2017-02-24,72.14,72.29,73.38,71.99,2804211.0,203747862.72
2017-02-27,71.78,71.09,72.28,70.57,4264487.0,302997757.09
2017-02-28,71.03,70.55,71.46,70.27,2668476.0,188654029.2
2017-03-01,70.49,70.3,71.25,69.95,3170086.0,223437838.12
2017-03-02,70.3,70.55,70.94,69.98,2505121.0,176510687.98
2017-03-03,70.3,70.25,70.55,69.91,3359429.0,235770943.02
2017-03-06,70.07,70.33,70.71,69.93,3151415.0,221601185.54
2017-03-07,70.3,71.03,71.09,70.02,2598792.0,183372997.02
2017-03-08,71.03,70.44,71.22,70.34,3365392.0,237401947.62
2017-03-09,70.12,69.6,70.47,69.53,3732482.0,260495865.04
2017-03-10,69.62,70.71,70.76,69.56,3211924.0,226214633.04
2017-03-13,70.71,71.06,71.25,70.13,3831458.0,271833948.02
2017-03-14,71.07,70.67,71.27,70.43,2623707.0,185791433.96
2017-03-15,70.72,72.23,72.32,70.48,5883819.0,420591281.04
2017-03-16,72.23,71.9,72.97,71.64,3838887.0,276650117.8
2017-03-17,71.91,71.55,72.86,71.41,3229698.0,232627498.41
2017-03-20,71.68,73.89,74.06,71.68,6511321.0,475959013.57
2017-03-21,73.78,77.29,78.2,73.52,9879860.0,755843213.95
2017-03-22,76.65,81.76,81.8,76.49,12864934.0,1025491633.99
2017-03-23,81.15,80.12,81.76,79.13,9345826.0,750812650.38
2017-03-24,80.15,80.15,80.79,79.43,5221430.0,417832774.51
2017-03-27,80.19,78.39,80.31,78.21,6843365.0,540198949.42
2017-03-28,78.39,79.26,79.79,77.47,4745890.0,373597921.96
2017-03-29,79.18,79.04,79.66,78.26,3241437.0,255725245.37
2017-03-30,78.74,78.29,78.78,76.28,5926538.0,460731295.78
2017-03-31,77.82,78.32,78.85,77.52,3243939.0,253992138.93
2017-04-05,78.3,78.32,80.69,77.99,10342708.0,815655485.12
2017-04-06,78.03,78.85,78.93,77.15,4672016.0,364482491.82
2017-04-07,78.56,79.58,79.58,78.03,3138120.0,247270089.39
2017-04-10,79.59,77.75,80.0,77.64,4363888.0,342889676.41
2017-04-11,77.46,75.96,77.48,74.82,6923651.0,526269492.37
2017-04-12,75.91,75.47,76.37,74.87,4274591.0,323697883.51
2017-04-13,75.72,77.9,78.2,75.47,4295933.0,331543633.81
2017-04-14,77.9,77.64,78.54,77.2,3198656.0,248910119.66
2017-04-17,77.65,78.39,79.31,77.5,2984171.0,233914744.57
2017-04-18,78.39,78.97,80.69,78.39,7514368.0,598029611.94
2017-04-19,79.04,79.72,80.14,78.21,4759699.0,377743629.36
2017-04-20,79.99,84.05,84.31,79.72,11207599.0,927800156.56
2017-04-21,84.01,82.34,84.17,81.04,7368200.0,608845200.12
2017-04-24,80.06,79.04,80.97,76.88,7511457.0,595717157.94
2017-04-25,79.04,79.04,79.04,79.04,0.0,0.0
2017-04-26,79.04,79.04,79.04,79.04,0.0,0.0
2017-04-27,79.13,80.42,82.22,78.28,7391965.0,595295443.65
2017-04-28,80.16,78.67,81.8,78.21,5284493.0,420408046.83
2017-05-02,77.29,78.85,79.12,74.56,6441139.0,493548638.2
